Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is personal data?,Information that can identify or describe you,A random color,A public icon only,A robot sensor
Why should you care what data a service collects?,It can affect privacy and safety,Data never matters,Services collect no information,It only changes font size
Which data should be protected carefully?,Location and account information,A public class topic,A generic color choice,A weather word
What is social engineering?,Tricking people into giving information or access,Writing clear code,Making a chart,Testing a prototype
Which message is suspicious?,Urgent request asking for your password,A normal class reminder,A saved project note,A clear source link
What should you do with a suspicious link?,Stop and verify before clicking,Click quickly,Forward it to everyone,Enter your password
What is malware?,Software meant to harm or misuse a device,A safe project file,A chart label,A media sample
What is phishing?,A trick that tries to steal information,A clean file backup,A project sketch,A sound setting
What is a safer account habit?,Use strong passwords and protect login details,Share passwords with friends,Reuse weak passwords,Post recovery codes
What is digital responsibility?,"Safe, respectful, and careful behavior online",Ignoring privacy,Copying any file,Opening all links
Why check a source before trusting it?,To see if it is reliable and safe,To hide the author,To remove evidence,To delete the link
What is a cyber threat?,"A danger to data, devices, or accounts",A project color,A sound sample,A safe screenshot
What is protection?,An action that reduces a risk,A hidden mistake,A broken login,A random message
What does impact mean in a security risk?,How serious the harm could be,The color of the warning,The file extension,The size of a title
What should you do if an account seems compromised?,Report it and change access safely,Ignore it forever,Share the password,Keep clicking links
Which answer justifies a protection well?,Use two-step verification because it adds another login check.,Because yes.,It looks nice.,No reason.
What should a security scenario answer include?,"Threat, best protection, and reason",Only a title,Only a password,Only a random link
Why avoid posting private details?,They can be misused by others,They make accounts safer,They improve every file,They delete malware
What is a safer response to pressure online?,"Pause, verify, and ask for help",Act immediately,Send private data,Ignore warning signs
Which protection fits malware risk?,Use trusted downloads and updated security settings,Download random files,Disable every warning,Open unknown attachments
