"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What does copyright protect?,A creator's work,Only keyboard keys,A broken link,A robot wheel,20,1
2,Why should you write a credit line?,To hide the source,To show where an image or idea came from,To make text unreadable,To turn off the page,20,2
3,Which image choice is safest for a class web page?,Any random image,A private photo without asking,A copyright-friendly image with a source,An image with no source,20,3
4,What is a source?,A sound block,A score number,A robot sensor,Where information or an image came from,20,4
5,What should you record when choosing an image?,"Source, safe-use choice, topic fit, and credit line",Only the color,Only the file size,Only your favorite emoji,20,1
6,What makes an image fit your topic?,It is unrelated but bright,It clearly supports the page idea,It has no source,It covers all text,20,2
7,What is a website title?,The hidden password,The robot speed,The name or main heading of the page,The bottom of the mouse,20,3
8,What is a header?,A packet route,A Scratch sound,An unplugged cable,The top label or section of a page,20,4
9,What is a section?,One organized part of a page,A single loose letter,A broken button,A motor setting,20,1
10,Why preview your page?,To erase the page,To check how it looks before sharing,To make links stop,To remove the title,20,2
11,What makes text readable?,Tiny letters on a busy image,Random words everywhere,"Clear size, spacing, and contrast",No headings at all,20,3
12,What is navigation?,How a sprite earns points,How a battery charges,How a sensor reads distance,How people move around a website,20,4
13,What should a useful link do?,Open the page or place it promises,Go nowhere,Hide the menu,Change the page title randomly,20,1
14,Why test a link?,To make the link disappear,To make sure it opens correctly,To change the image source,To remove feedback,20,2
15,Which link label is clearest?,Click here maybe,Stuff,Learn more about recycling,Blue,20,3
16,What is Scratch?,A website source,A type of e-waste,A menu button,A block coding tool,20,4
17,What is a sprite?,A character or object in Scratch,A web page title,A network address,A private message,20,1
18,What is a script in Scratch?,A web image credit,A group of blocks that runs together,A packet address,A menu color,20,2
19,What does a variable store?,Only a picture,Only the page title,A value that can change,Only a website source,20,3
20,Which variable fits a game?,Header,Copyright,Battery,Score,20,4
21,What should happen when a sprite is clicked in a score game?,The score changes by the planned amount,The website deletes itself,The packet loses its header,The link stops working,20,1
22,Why test your Scratch score task?,To hide the score,To check that each sprite changes the score correctly,To remove every block,To change the image source,20,2
23,What does debug mean in Scratch?,Pick a random color only,Close the project forever,Find and fix what is not working,Add a source line,20,3
24,What should your Scratch score explanation include?,Only a website menu,Only one image source,Only the browser name,What each sprite does to the score,20,4
25,What should you fix if the score does not change?,The block or variable setup,The page audience,The image credit,The web address,20,1
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
