Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is a portfolio?,A collection of work that shows learning,One hidden password,A robot sensor,A broken cable
Why check required project pieces before building?,To find what is missing early,To hide missing files,To delete the plan,To remove feedback
What should a Google Sites shell include?,Required pages and clear navigation,Only a blank home page,Only a private folder,Only a robot command
What should the campaign homepage include?,"Title, purpose statement, call to action, and main graphic",Only a random image,Only a password,Only a blank section
What is a call to action?,Words that ask the reader to do something,A hidden file,A sensor threshold,A markup tag
Why add captions to media?,They help explain images or video,They hide the message,They remove the source,They delete the page
What should the campaign page explain?,"The issue, message, action, and design choices",Only one color,Only a folder name,Only a sensor reading
What should the vector page show?,"Original graphic, design choices, and improvement notes",Only copied images,Only a blank canvas,Only search history
What belongs on a research or credits page?,"Sources, links, media credits, and permission notes",Private passwords,Unrelated pictures,Hidden files only
Why test site navigation?,To make sure visitors can move between pages,To make links fail,To hide the menu,To remove every page
What should you check for readability?,"Text size, contrast, spacing, and clear headings",Only file size,Only battery power,Only robot speed
What should you fix if a link does not open?,The link address or button setup,The campaign topic,The computer memory,The graphic color only
Why review alt text?,To make images more accessible,To hide image meaning,To remove every image,To change the homepage title
What is revision?,A changed version made after review,A hidden source,A deleted project,A random icon
Which feedback is useful?,Homepage title is clear; call to action needs stronger words.,It is bad.,Use blue.,I do not know.
What should a reflection explain?,What improved and what choices helped the audience,Only the date,Only a password,Only a missing page
Why rehearse your portfolio presentation?,"To explain pages, design choices, and changes clearly",To hide the site,To skip all links,To delete the homepage
What should you do before sharing the final site link?,"Check pages, links, media, credits, and permissions",Make the site empty,Remove navigation,Hide the title
What is archive?,Store files neatly for later,Delete all files,Break every link,Change the topic randomly
What should you archive after the project?,"Site link, images, video files, and notes",Only trash,Only a random search,Only a hidden password
What should you do during a make-up or correction window?,"Finish missing links, pages, or file organization",Start an unrelated topic,Hide the project,Remove the source page
What makes a portfolio easy to use?,Clear page titles and navigation labels,Broken links,Tiny text,Unrelated media
What should your final site show about your campaign?,"Message, research, design work, and action idea",Only one color,Only copied images,Only a blank page
Which final check is most useful?,Open the site as a visitor and test each page,Look only at the folder name,Close the browser immediately,Delete the feedback notes
Why keep files organized after the project?,"So images, pages, and notes can be found later",So links break,So sources disappear,So the site cannot be revised
