"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What does a browser help you open?,Websites,Only pencils,Robot wheels,Printed books only,20,1
2,What is a domain name?,A secret password,The readable name of a website,A computer battery,A drawing tool,20,2
3,Why is DNS useful?,It deletes messages,It makes images blurry,It helps match a website name to its address,It turns off Wi-Fi,20,3
4,Which is an example of a website address?,Turn left,Use blue paint,Move 20 steps,academy.edu.pa,20,4
5,What is an IP address used for?,Finding a device or place on a network,Coloring a page,Making a poster title,Naming a sprite,20,1
6,Why can a long message be sent in packets?,Packets make the message private forever,Smaller parts are easier to move across a network,Packets remove all words,Packets are only for pictures,20,2
7,What should you do if one packet is missing?,Pretend the message is perfect,Erase every packet,Notice the message may be incomplete,Change the website title,20,3
8,What does order mean in a packet activity?,Choosing the brightest color,Making the route longer,Deleting the header,Putting message parts in the correct sequence,20,4
9,What is a shared file?,A file more than one person can work on,A file nobody can open,A robot part,A private password,20,1
10,Which comment is respectful?,This is bad.,I like your idea; maybe add a clearer title.,Give me your password.,Delete all your work.,20,2
11,What should you avoid sharing online?,A public class topic,A safe project title,Private personal information,A website menu idea,20,3
12,What is an audience?,The route a packet takes,The color of a button,The back of a laptop,The people who see or hear a message,20,4
13,Which message should stay private?,A password or personal address,A class poster title,A website topic,A safe teamwork reminder,20,1
14,What does permission mean?,A broken link,Approval to use or share something,A website section,A game score,20,2
15,What is a web page?,A robot motor,A packet header only,One page in a website,A keyboard shortcut,20,3
16,What belongs in a simple website plan?,Only a password,Only one random picture,Only a battery,"Title, audience, sections, image idea, and link idea",20,4
17,Why should a website have a clear title?,It helps visitors know what the page is about,It hides the page,It removes all links,It changes the internet address,20,1
18,What does public mean online?,Only visible to you,Able to be seen by many people,Broken or missing,Saved as a robot program,20,2
19,What does private mean online?,Always copied everywhere,A kind of image credit,Only for certain people,A Scratch costume,20,3
20,Which choice shows good online teamwork?,Spam the chat,Move files without asking,Ignore the shared task,Use helpful comments and take turns editing,20,4
21,What should you do before sending an online message?,"Check audience, kindness, and privacy",Share every detail,Use all capital letters,Delete the subject,20,1
22,What does route mean for a message?,The page color,The path it takes to get somewhere,The size of a photo,The score number,20,2
23,What is a network?,One loose cable only,A poster with no text,Connected devices that can share information,A private notebook,20,3
24,Which part of a packet holds the main message?,Sticker,Battery,Paint,Payload,20,4
25,Which part of a packet helps it get delivered?,Header,Sprite,Score,Folder color,20,1
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
