Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is hardware?,The physical parts of a computer or device,Only a website idea,A private comment,A color choice
What is software?,Programs that tell hardware what to do,Only a keyboard,A campaign sketch,A recycled battery
What is input?,Information or action that goes into a system,Only the final result,A hidden password,A vector outline
What is output?,What a system produces or shows,The keyboard only,A deleted source,A route map
What does the processor do?,Carries out instructions,Stores all long-term files only,Paints the page,Creates a poster title
What is memory used for?,Short-term storage while the computer works,Permanent trash,Only screen brightness,A robot wheel
What is storage used for?,Long-term space for files and programs,A click sound,Only a temporary thought,A Scratch costume
What does an operating system do?,Manages the computer and helps programs run,Only changes image credit,Measures robot distance,Deletes every file
Which search query uses AND correctly?,recycling AND Panama,recycling banana zebra,AND AND AND,no words typed
What does NOT do in a search?,Leaves out results with a word,Adds every result,Changes computer memory,Opens a robot program
What is AI?,Software that can do tasks that seem intelligent,A page title only,A motor speed,A file folder
What is machine learning?,AI that improves using data examples,A tool for resizing shapes only,A browser address,A robot wheel
What is training in AI?,Using examples to teach a model,Deleting all examples,Hiding the result,Changing a website title
What is prediction?,A result or guess made by a model,A private password,A vector fill,A broken link
What is a limitation?,A reason a result may be incomplete or unreliable,A perfect answer forever,A deleted source,A color palette
Why should AI results be checked?,They can make mistakes or miss context,They are always perfect,They replace thinking,They do not use data
What does responsible remixing include?,"Credit, permission, and clear source notes",Copying without care,Deleting creators,Using private images
What is HTML used for?,Structuring a web page,Measuring sensor distance,Charging a battery,Drawing only vector paths
What is the body section in HTML?,The part shown on the page,The hidden page information only,A robot state,A private folder
What is CSS used for?,Styling a web page,Moving a robot,Sorting batteries,Sending packets
What is a selector in CSS?,Code that chooses what to style,A motor part,A search engine,A shared file
What should alt text do?,Describe an image for people who cannot see it,Hide the image source,Make the page empty,Replace every heading
What is a keyword?,An important search word,A vector node,A robot output,A file extension only
Which source is useful for a campaign?,A reliable page that supports the topic,A random ad with no author,A broken link,A page unrelated to the message
What should a portfolio map include?,"Needed pages, navigation, media, and source needs",Only a private password,Only one random icon,Only a sensor value
