Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What should a robot goal explain?,What the robot should do,Only the team name,Only a website link,Only a vector color
What belongs in a component list?,Parts needed for the project,Random files,Only a title,Only a search query
What is a state chart?,A table or diagram showing states and actions,A folder icon,A campaign poster,A browser tab
What should a design plan include?,"Goal, inputs, outputs, state chart, parts, risks, and tests",Only a board photo,Only a password,Only a color palette
What is a test step?,One action used to check if something works,A hidden source,A deleted wire,A web page section
Why get peer feedback on a design plan?,"To refine the goal, tests, or build idea",To remove testing,To hide weak points,To delete the plan
What is a subsystem?,One smaller part of a larger system,One unrelated picture,A private message,A vector fill
What is wiring?,How electronic parts are connected,The text on a website,The name of a folder,The style of a logo
What is code logic?,The rules and order used in code,Only wire color,Only page navigation,Only image credit
Why build one feature first?,To test a smaller part before the whole project,To skip the project,To hide the circuit,To remove every input
What should project notes record?,"Input, output, state, and expected response",Only a team joke,Only a page title,Only a random image
What is documentation?,Notes or records that explain work,A loose button,A hidden password,A browser color
What is a test result?,What happened during a test,A missing wire,A deleted source,A logo shape
What does debug mean?,Isolate and fix a problem before retesting,Ignore every problem,Close the file forever,Randomly swap all wires
Why test each subsystem?,To find which part needs a fix,To make the project harder to explain,To avoid notes,To hide output
What is reliability?,How dependably something works,How bright the title is,How secret the link is,How many files are hidden
What is a controlled test?,A test where conditions are carefully chosen,A random guess,A hidden circuit,A deleted sketch
What does pass/fail mean?,Whether the test worked or did not work,The file color,The website title,The shape outline
What is a weak point?,The part that needs the most improvement,The strongest feature only,A private password,A random icon
Why add code comments?,To explain important parts of the code,To hide the logic,To remove all variables,To change wire color only
What should your one-minute explanation include?,"Goal, inputs, outputs, logic, tests, and improvement",Only the board name,Only a color,Only a folder
Why rehearse the demonstration?,To show the project clearly and safely,To make the output fail,To delete the code,To hide the test notes
What is a reflection?,"A note about what worked, changed, and could improve",Only a private password,Only a loose wire,Only a page title
What should the final demonstration show?,"Circuit, code behavior, tests, and final result",Only a hidden folder,Only a random LED color,Only a copied diagram
What should you do if the final build partly works?,"Explain what works, what was tested, and what needs improvement",Say nothing changed,Hide the circuit,Delete all notes
