Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
A branded slide set should repeat which elements?,"Logo placement, colors, readable text, and layout style",Random colors and fonts each slide,No images or icons,Only hidden notes
Which slide best supports a poster message?,"One clear image, short text, and the same brand style",Ten tiny paragraphs,No title,A random unrelated graphic
"In Scratch, what starts a script?",An event,A color palette,A credit line,A poster source
What is a sprite?,A character or object controlled by scripts,A copyright license,A slide transition,A spreadsheet row
Why does sequence matter in Scratch?,Blocks run in order to create the intended action,Blocks always run randomly,Sprites do not use scripts,Order only changes the background color
Sound happens before the costume change. What should you fix?,Block order,Image credit,Slide logo,Poster contrast
What is a variable?,A named place that stores a value that can change,A fixed poster title,A robot wheel,A classroom rule
Which variable fits a simple game?,score,copyright-free,alignment,Canva
What does if/else do?,Chooses between two actions based on a condition,Stores an image source,Builds a brand palette,Uploads a poster
Which condition could a Scratch game check?,If score is greater than 5,If the poster is printed,If the desk is clean,If the browser is closed
A click changes the score by 1. Which concept is used?,Variable,Image credit,Typography,Breadboard
What should you show for your Scratch sequence check?,Screenshot of blocks and a sentence explaining order,Only a poster title,Only an unlabeled image,Only a blank slide
Why test a Scratch sequence before submitting?,"To see if the sprite, sound, and blocks behave as planned",To remove all scripts,To hide the event block,To avoid explaining anything
Which is a clear Scratch explanation?,"Event starts script, then costume changes and sound plays",It does stuff,I used colors,The slide is nice
What is a script?,A group of connected blocks that run together,A planned set of colors,A visual message,A robot sensor
Which problem shows a sequence error?,The sprite speaks before the question appears,The poster has image credit,The slide has a logo,The variable is named score
What should a branded mini-presentation include?,Consistent design and one sentence about the message,No connection between slides,Only random animations,No readable text
Which Scratch project uses input?,A sprite changes when a key is pressed,A poster is printed,A logo is recolored,A slide is aligned
Why name variables clearly?,So the code is easier to understand,So the game cannot run,So the sprite disappears,So the poster loses credit
"Which feature belongs to Scratch, not Canva?",Sprite script,Poster palette,Image credit line,Brand logo
Which action improves a weak branded slide?,Align the title and use the same colors as the poster,Add unrelated fonts,Remove the main message,Hide the image
Which result shows the sequence worked?,"The planned sound, movement, or costume change happens in order",The file has no name,The slide is blank,The logo is missing
