"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is a responsible internet rule?,A clear reminder that helps people stay safe and kind online,A secret password list,A broken menu,A random page color,20,1
2,Which online action is safest?,Post a private address,Ask before sharing someone's photo,Send a password,Open every unknown link,20,2
3,What does privacy protect?,A robot wheel,A Scratch costume,Personal information,A poster border,20,3
4,What makes an Internet Day poster clear?,No title,Only tiny text,An unrelated picture,"One rule, one example, and a strong image or icon",20,4
5,What is a campaign?,A planned message that asks people to understand or act,A broken computer part,A hidden folder,A packet header,20,1
6,Which reminder is kind online?,Share rumors quickly,Pause before replying when upset,Make fun of mistakes,Send private info,20,2
7,What is e-waste?,Clean paper only,Fresh fruit,Old or broken electronic items,A Scratch block,20,3
8,Why should batteries be handled carefully?,They make websites faster,They are menu buttons,They replace credits,They can be unsafe in regular trash,20,4
9,Which item is likely e-waste?,Broken headphones,A banana peel,A paper napkin,A pencil shaving,20,1
10,What does reuse mean?,Throw it away first,Use something again,Break it on purpose,Hide it online,20,2
11,What does repair mean?,Delete the source,Make a random link,Fix something so it works again,Change a sprite costume,20,3
12,What does recycle mean?,Send a password,Close a browser,Move a robot forward,Turn used material into something useful again,20,4
13,Which choice is best for a working old tablet?,Reuse it or donate it safely,Throw it in regular trash,Leave personal data on it,Break it for fun,20,1
14,Why sort technology waste?,Every item goes in the same bin,Different items need different responsible choices,It removes all messages,It changes the website title,20,2
15,What should your awareness product include?,Only a hidden password,Only a blank slide,"Title, facts or tips, image or icon, and action step",Only a robot command,20,3
16,What is a fact?,A random guess,A private password,A broken link,Something true that can be checked,20,4
17,What is a tip?,A short helpful advice statement,A packet with no order,A robot wheel,A menu with no links,20,1
18,What is an action step?,A missing image,Something a person can do,A secret file,A frozen score,20,2
19,Why choose an audience for your message?,It deletes the title,It makes every image unsafe,It helps you decide what words and examples to use,It hides the slide,20,3
20,What should you do when presenting your awareness product?,Read private information,Hide the title,Ignore the audience,Speak clearly and explain the main action,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
