Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What should you check before using a numbered mBot?,Readiness checklist,Secret password,Poster color,Random file
What does a readiness checklist help you notice?,Missing or unsafe robot parts,The best background music,A hidden browser tab,A private message
What belongs in a vocabulary table?,"Word, meaning, visual or example, and sentence",Only a title,Only a game score,Only a battery
What is a data table?,Rows and columns used to organize information,A robot wheel,A private chat,A 3D shape only
What should each column header tell you?,What information is in that column,The color of the screen,Who owns the robot,The shape of the desk
Why include units in mBot data?,They show what a number measures,They hide the result,They replace the table,They delete the chart
Which record is useful for mBot data?,"Trial 1, route time, distance, and result",Only a smiley face,Only a random name,Only a folder color
What does readable formatting do?,Makes the table easier to understand,Makes all values disappear,Stops formulas,Changes the robot parts
What does a formula do in a spreadsheet?,Calculates a result from values,Paints the robot,Creates a private password,Deletes a column
Which symbol often starts a formula?,Equals sign,Question mark,Pencil mark,Stop sign
What does total mean?,The sum of values,The smallest label,A hidden picture,A random title
What does average mean?,A typical value found by sharing a total evenly,The largest picture,A robot color,A private note
Why use formulas with mBot data?,To calculate totals or averages accurately,To make data random,To hide the table,To remove all numbers
What should you do before making a chart?,Check that the table has clear data and labels,Delete the headers,Hide all values,Change the robot name
What does a chart help you see?,Patterns or comparisons in data,Only a password,Only a battery charge,Only the browser name
What should a chart title explain?,What the chart is about,The file owner's address,The computer's brand,The robot's nickname only
Why do chart labels matter?,They help people understand the values,They make bars invisible,They erase the table,They remove the conclusion
Which conclusion fits a chart?,The fastest route had the shortest time.,The chart is blue.,The file has a title.,I clicked a button.
What should you answer after making a chart?,Questions about what the chart shows,Only your favorite color,Only a hidden number,Only a random shape
How can you improve a messy data table?,"Fix headers, spacing, and missing values",Add random numbers,Remove every label,Use no categories
