Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What should a STEM project problem describe?,A real need or challenge to solve,Only a team name,Only a random tool,Only a private password
Who are users in a STEM project?,People affected by the problem or product,Only file folders,Only sensors,Only media settings
What is a constraint?,"A limit such as time, materials, or safety",A perfect answer,A hidden file,A random title
Why identify possible data for a project?,Data can help test or explain the solution,Data makes the project secret,Data removes users,Data replaces all testing
Which tool might fit a 3D model idea?,Tinkercad,A private chat,A phishing link,A random password
Which tool might fit a simple signal idea?,Arduino or Freenove,A deleted file,A social trick,A media rumor
What is a prototype tool?,A tool used to build or test an early version,A way to hide the problem,A private account,A random image
What should a planning reflection mention?,"Effort, organization, safe materials, perseverance, and feedback",Only the date,Only a color,Only a secret code
What is a risk?,Something that could cause a problem,A guaranteed success,A hidden title,A random icon
What is probability in a risk map?,How likely the risk is,How pretty the chart is,How large the title is,How many colors are used
What is impact in a risk map?,How serious the result would be,The folder name,The user's favorite color,The number of tabs open
What is a protection strategy?,A plan to reduce or handle a risk,A way to ignore the risk,A hidden password,A random prototype
What is a priority recommendation?,The risk response you think should happen first,The longest sentence,The file color,The easiest icon
Which risk fits a STEM build?,The material is too weak for the design,The folder is blue,The title is short,The icon is small
Which protection fits a weak material risk?,Test a stronger material or change the design,Ignore the break,Hide the model,Delete all notes
Why rate probability and impact separately?,A rare risk can still be serious,They are always the same,Ratings are not useful,Only color matters
What should a risk map include?,"Risks, probability, impact, protections, and recommendation",Only a title,Only a password,Only a random picture
Which recommendation is specific?,Test the sensor early because it controls the prototype.,Do better.,Make it nice.,Try things.
Why revise a STEM idea after risk mapping?,To make the project safer and more realistic,To hide the risks,To avoid users,To delete the goal
What makes a problem selection strong?,"Clear users, constraints, data, tools, and test idea",Only a title,No users,No possible test
