"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What does STEM connect?,"Science, technology, engineering, and math",Only passwords,Only social posts,Only file names,20,1
2,What is a pixel?,A full website,One tiny point in a digital image,A private message,A sensor cable,20,2
3,What is resolution?,The speed of a fan,A hidden folder,The amount of detail in an image,A project role,20,3
4,What is color depth?,The size of a wire,A social trick,A risk rating,How many colors can be represented,20,4
5,What is RGB?,"Red, green, and blue color channels","Risk, goal, build","Read, group, browse","Robot, game, button",20,1
6,What is file size?,The color of an image,How much storage a file uses,The number of users only,A private code,20,2
7,What does compression do?,Always improves quality,Deletes every image,Reduces file size by changing how data is stored,Makes sound impossible,20,3
8,What is quality in media?,A hidden password,A random filename,A risk map,How clear or useful the image or sound is,20,4
9,What is a sample in sound?,One measurement of sound at a moment,A full project plan,A malware file,A social post,20,1
10,What is sample rate?,How bright an image is,How often sound is measured each second,How many links a site has,How fast a robot drives,20,2
11,What is sample size?,The length of a password,A chart color,How much detail each sound sample stores,A project role,20,3
12,What does a microphone do?,Shows final output only,Stores every file,Builds a 3D model,Captures sound as input,20,4
13,What does a speaker do?,Produces sound as output,Collects personal data,Compresses images,Rates risks,20,1
14,Why can higher resolution increase file size?,It removes pixels,More image detail usually needs more data,It hides colors,It deletes quality,20,2
15,Why connect a STEM idea to data?,Data makes the idea private,Data replaces the problem,Data can help test or explain the idea,Data deletes the prototype,20,3
16,Which media setting affects image detail?,Threshold,Button state,Team role,Resolution,20,4
17,Which media setting affects sound detail?,Sample rate,Page title,Risk priority,Project habit,20,1
18,Why choose the right file quality?,To make files impossible to open,To balance clarity and file size,To remove all color,To hide the project,20,2
19,What should you compare in a sound-quality task?,Only file color,Only project team name,"Clarity, file size, and settings",Only private messages,20,3
20,Which explanation is strongest?,Sound is magic.,The file is blue.,I opened it.,Higher sample rate can make sound clearer but may use more storage.,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
