"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What does a sensor do for the mBot?,Detects something such as an object or line,Writes the project title,Makes a copyright license,Stores classmate passwords,20,1
2,Which is an example of a sensor input?,A poster color,An obstacle detected in front of the robot,A team name,A blank page,20,2
3,If obstacle then stop. What is the condition?,The robot has wheels,The notebook is blue,Obstacle detected,The class has a projector,20,3
4,What does true mean in an if/then flowchart?,The robot is always wrong,The route map is blank,The team skipped testing,The condition is happening or correct,20,4
5,What does false mean in an if/then flowchart?,The condition is not happening,The sensor is always broken,The robot has no parts,The answer is always the first option,20,1
6,What should a condition flowchart include?,Only a title,"Condition, true response, false response, and explanation",Only a robot photo,Only a color,20,2
7,Which response makes sense if the mBot sees an obstacle?,Speed up toward the obstacle,Erase the program,Stop or turn away,Hide the sensor,20,3
8,Why test a sensor in two situations?,To avoid recording data,To make the robot heavier,To skip the flowchart,To compare how it responds,20,4
9,What should a mini-challenge goal be?,Small enough to build and test in class,Impossible to test,Unclear and random,Only about decoration,20,1
10,Which success rule is clear?,The mBot is cool,The mBot stops before the marker three times,The robot looks nice,The team worked somehow,20,2
11,What belongs in the mini-challenge plan?,Only a class password,Only a poster image,"Goal, commands, test area, and success rule",Only a logo,20,3
12,What should you record during testing?,Only the date,Only the team color,Nothing,One problem and one improvement,20,4
13,Which pair is correct?,Input is what the robot detects; response is what it does,Input is a poster; response is a worksheet,Input is a pencil; response is a drawing,Input is a title; response is a password,20,1
14,What is a flowchart?,A motor inside the mBot,A diagram that shows steps or choices,A sound made by the buzzer,A classroom folder,20,2
15,Why should the test area be safe?,So the robot can leave the room,So the team does not need a plan,So the robot can be tried without hitting people or materials,So all commands are random,20,3
16,Which is a good debugging step for a sensor response?,Remove the sensor word from notes,Ignore the test result,Turn off all safety rules,Check the condition and test again,20,4
17,What makes an explanation sentence strong?,It tells what the sensor detected and what the robot did,It only says yes,It only lists the team name,It avoids the word sensor,20,1
18,Which challenge uses a sensor?,Draw a poster title,Stop when an object is close,Sort classroom pencils,Choose a Canva color,20,2
19,Why ask another group to watch the test?,They can hide the result,They can replace the plan,They can notice a problem or give a useful suggestion,They can delete the flowchart,20,3
20,What should you improve after feedback?,Every unrelated file,The class schedule,The school year,One part of the program or test plan,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
