Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is a responsible internet rule?,A clear reminder that helps people stay safe and kind online,A secret password list,A broken menu,A random page color
Which online action is safest?,Ask before sharing someone's photo,Post a private address,Send a password,Open every unknown link
What does privacy protect?,Personal information,A robot wheel,A Scratch costume,A poster border
What makes an Internet Day poster clear?,"One rule, one example, and a strong image or icon",No title,Only tiny text,An unrelated picture
What is a campaign?,A planned message that asks people to understand or act,A broken computer part,A hidden folder,A packet header
Which reminder is kind online?,Pause before replying when upset,Share rumors quickly,Make fun of mistakes,Send private info
What is e-waste?,Old or broken electronic items,Clean paper only,Fresh fruit,A Scratch block
Why should batteries be handled carefully?,They can be unsafe in regular trash,They make websites faster,They are menu buttons,They replace credits
Which item is likely e-waste?,Broken headphones,A banana peel,A paper napkin,A pencil shaving
What does reuse mean?,Use something again,Throw it away first,Break it on purpose,Hide it online
What does repair mean?,Fix something so it works again,Delete the source,Make a random link,Change a sprite costume
What does recycle mean?,Turn used material into something useful again,Send a password,Close a browser,Move a robot forward
Which choice is best for a working old tablet?,Reuse it or donate it safely,Throw it in regular trash,Leave personal data on it,Break it for fun
Why sort technology waste?,Different items need different responsible choices,Every item goes in the same bin,It removes all messages,It changes the website title
What should your awareness product include?,"Title, facts or tips, image or icon, and action step",Only a hidden password,Only a blank slide,Only a robot command
What is a fact?,Something true that can be checked,A random guess,A private password,A broken link
What is a tip?,A short helpful advice statement,A packet with no order,A robot wheel,A menu with no links
What is an action step?,Something a person can do,A missing image,A secret file,A frozen score
Why choose an audience for your message?,It helps you decide what words and examples to use,It deletes the title,It makes every image unsafe,It hides the slide
What should you do when presenting your awareness product?,Speak clearly and explain the main action,Read private information,Hide the title,Ignore the audience
