Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What does archive mean?,Store files neatly for later,Delete the whole project,Hide every link,Break the circuit
Why organize project files?,"So code, photos, and notes can be found later",So nothing opens,So the circuit disappears,So links break
What should go in a project folder?,"Code, photos, test notes, and reflection",Only a random meme,Only a private password,Only an empty file
What is make-up work?,Missed work completed later,A new unrelated project,A random LED pattern,A deleted folder
What should you check before turning in late work?,"Files open, names are clear, and required parts are included",Links are broken,Notes are empty,The code is hidden
Which screenshot is useful?,"One showing the circuit, code, or test result",An empty desktop,A random game,A blank browser tab
Why keep code files named clearly?,So the correct project can be found,So nobody can open them,So outputs stop,So the board changes
What should a final reflection mention?,"What worked, what changed, and what you would improve",Only the date,Only the file size,Only a password
What is a skill?,An ability you can practice and improve,A hidden wire,A missing file,A random color
Which reflection sentence is strongest?,The sensor trigger worked after I changed the threshold.,It was fine.,I did stuff.,The title is blue.
What should you do if a file link does not open?,Fix the link or reattach the correct file,Ignore it,Delete the project,Hide the folder
What does feedback help you do?,Finish corrections and improve the final project,Avoid looking at the project,Remove all notes,Break the circuit
Why keep test notes with the project?,They explain what happened during trials,They make code unnecessary,They remove the output,They hide the problem
What should an organized file name include?,Project topic or part name,Only random letters,Only spaces,Only a secret code
What should you do after finishing corrections?,Submit the updated files and reflection,Erase the folder,Unplug random parts,Hide the code
What can a final archive help with later?,Reviewing what you built and how you solved problems,Forgetting all changes,Making links fail,Deleting screenshots
Which item should not be archived?,A private password,A project photo,A code file,A reflection note
What is a good final check?,Open each file and confirm it matches the project,Look only at the folder color,Skip the project folder,Delete the source files
Why save a clean copy of the final code?,So the final version is easy to identify,So the project cannot run,So wires disappear,So notes are lost
What should you do if your project is incomplete?,Show the working part and explain the next fix,Pretend everything worked,Hide the circuit,Delete the notes
