"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is personal data?,Information that can identify or describe you,A random color,A public icon only,A robot sensor,20,1
2,Why should you care what data a service collects?,Data never matters,It can affect privacy and safety,Services collect no information,It only changes font size,20,2
3,Which data should be protected carefully?,A public class topic,A generic color choice,Location and account information,A weather word,20,3
4,What is social engineering?,Writing clear code,Making a chart,Testing a prototype,Tricking people into giving information or access,20,4
5,Which message is suspicious?,Urgent request asking for your password,A normal class reminder,A saved project note,A clear source link,20,1
6,What should you do with a suspicious link?,Click quickly,Stop and verify before clicking,Forward it to everyone,Enter your password,20,2
7,What is malware?,A safe project file,A chart label,Software meant to harm or misuse a device,A media sample,20,3
8,What is phishing?,A clean file backup,A project sketch,A sound setting,A trick that tries to steal information,20,4
9,What is a safer account habit?,Use strong passwords and protect login details,Share passwords with friends,Reuse weak passwords,Post recovery codes,20,1
10,What is digital responsibility?,Ignoring privacy,"Safe, respectful, and careful behavior online",Copying any file,Opening all links,20,2
11,Why check a source before trusting it?,To hide the author,To remove evidence,To see if it is reliable and safe,To delete the link,20,3
12,What is a cyber threat?,A project color,A sound sample,A safe screenshot,"A danger to data, devices, or accounts",20,4
13,What is protection?,An action that reduces a risk,A hidden mistake,A broken login,A random message,20,1
14,What does impact mean in a security risk?,The color of the warning,How serious the harm could be,The file extension,The size of a title,20,2
15,What should you do if an account seems compromised?,Ignore it forever,Share the password,Report it and change access safely,Keep clicking links,20,3
16,Which answer justifies a protection well?,Because yes.,It looks nice.,No reason.,Use two-step verification because it adds another login check.,20,4
17,What should a security scenario answer include?,"Threat, best protection, and reason",Only a title,Only a password,Only a random link,20,1
18,Why avoid posting private details?,They make accounts safer,They can be misused by others,They improve every file,They delete malware,20,2
19,What is a safer response to pressure online?,Act immediately,Send private data,"Pause, verify, and ask for help",Ignore warning signs,20,3
20,Which protection fits malware risk?,Download random files,Disable every warning,Open unknown attachments,Use trusted downloads and updated security settings,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
