Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is a 3D model?,"A digital object with height, width, and depth",A flat table only,A private message,A browser address
Which is a basic 3D shape?,Cube,Website link,Chat message,Spreadsheet cell
What does resize mean in 3D modeling?,Change the size of an object,Delete the object,Hide the screen,Change a password
What does rotate mean?,Turn an object,Copy a formula,Open a browser,Send a packet
Why combine basic shapes?,To build a simple object,To erase the design,To make data random,To stop all modeling
What should your model sketch show?,At least three labeled shapes,Only a blank box,Only a secret note,Only a web link
What does model purpose mean?,What the model is for,The color of the toolbar,The folder password,The mBot speed only
What is a planned improvement?,A change that could make the design better,A random extra shape,A hidden mistake,A deleted screenshot
What should you save from a 3D model task?,A simple model or screenshot,Only a private password,Only a browser tab,Only a chart title
Which design choice is clearest?,Use shapes that match the object purpose,Use random shapes with no plan,Hide all labels,Make every part tiny
What is a micro:bit?,A small programmable board,A spreadsheet formula,A website menu,A 3D cube only
Which micro:bit part shows icons or text?,LED display,Robot wheel,Folder icon,Chart label
Which part can you press on a micro:bit?,Button,Header,Column,3D camera only
What is input on a micro:bit?,Information the board can detect or receive,Only the final picture,A hidden file,A table border
What is output on a micro:bit?,What the board shows or does,A private password,A deleted formula,A browser address
Which is a micro:bit input example?,Button press,LED icon,Displayed text,Printed title
Which is a micro:bit output example?,LED display icon,Temperature reading,Button press,Light level value
Why sort examples into input and output?,To understand how the board responds,To hide the board,To make the file private,To delete the sketch
What should a parts check include?,Labels for important micro:bit parts,Only the board color,Only a chart,Only a 3D shape
What does a simple diagram help you explain?,Where parts are and what they do,Which password to use,How to delete data,How to hide a model
