"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,A branded slide set should repeat which elements?,"Logo placement, colors, readable text, and layout style",Random colors and fonts each slide,No images or icons,Only hidden notes,20,1
2,Which slide best supports a poster message?,Ten tiny paragraphs,"One clear image, short text, and the same brand style",No title,A random unrelated graphic,20,2
3,"In Scratch, what starts a script?",A color palette,A credit line,An event,A poster source,20,3
4,What is a sprite?,A copyright license,A slide transition,A spreadsheet row,A character or object controlled by scripts,20,4
5,Why does sequence matter in Scratch?,Blocks run in order to create the intended action,Blocks always run randomly,Sprites do not use scripts,Order only changes the background color,20,1
6,Sound happens before the costume change. What should you fix?,Image credit,Block order,Slide logo,Poster contrast,20,2
7,What is a variable?,A fixed poster title,A robot wheel,A named place that stores a value that can change,A classroom rule,20,3
8,Which variable fits a simple game?,copyright-free,alignment,Canva,score,20,4
9,What does if/else do?,Chooses between two actions based on a condition,Stores an image source,Builds a brand palette,Uploads a poster,20,1
10,Which condition could a Scratch game check?,If the poster is printed,If score is greater than 5,If the desk is clean,If the browser is closed,20,2
11,A click changes the score by 1. Which concept is used?,Image credit,Typography,Variable,Breadboard,20,3
12,What should you show for your Scratch sequence check?,Only a poster title,Only an unlabeled image,Only a blank slide,Screenshot of blocks and a sentence explaining order,20,4
13,Why test a Scratch sequence before submitting?,"To see if the sprite, sound, and blocks behave as planned",To remove all scripts,To hide the event block,To avoid explaining anything,20,1
14,Which is a clear Scratch explanation?,It does stuff,"Event starts script, then costume changes and sound plays",I used colors,The slide is nice,20,2
15,What is a script?,A planned set of colors,A visual message,A group of connected blocks that run together,A robot sensor,20,3
16,Which problem shows a sequence error?,The poster has image credit,The slide has a logo,The variable is named score,The sprite speaks before the question appears,20,4
17,What should a branded mini-presentation include?,Consistent design and one sentence about the message,No connection between slides,Only random animations,No readable text,20,1
18,Which Scratch project uses input?,A poster is printed,A sprite changes when a key is pressed,A logo is recolored,A slide is aligned,20,2
19,Why name variables clearly?,So the game cannot run,So the sprite disappears,So the code is easier to understand,So the poster loses credit,20,3
20,"Which feature belongs to Scratch, not Canva?",Poster palette,Image credit line,Brand logo,Sprite script,20,4
21,Which action improves a weak branded slide?,Align the title and use the same colors as the poster,Add unrelated fonts,Remove the main message,Hide the image,20,1
22,Which result shows the sequence worked?,The file has no name,"The planned sound, movement, or costume change happens in order",The slide is blank,The logo is missing,20,2
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
