"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What does archive mean?,Store files neatly for later,Delete the whole project,Hide every link,Break the circuit,20,1
2,Why organize project files?,So nothing opens,"So code, photos, and notes can be found later",So the circuit disappears,So links break,20,2
3,What should go in a project folder?,Only a random meme,Only a private password,"Code, photos, test notes, and reflection",Only an empty file,20,3
4,What is make-up work?,A new unrelated project,A random LED pattern,A deleted folder,Missed work completed later,20,4
5,What should you check before turning in late work?,"Files open, names are clear, and required parts are included",Links are broken,Notes are empty,The code is hidden,20,1
6,Which screenshot is useful?,An empty desktop,"One showing the circuit, code, or test result",A random game,A blank browser tab,20,2
7,Why keep code files named clearly?,So nobody can open them,So outputs stop,So the correct project can be found,So the board changes,20,3
8,What should a final reflection mention?,Only the date,Only the file size,Only a password,"What worked, what changed, and what you would improve",20,4
9,What is a skill?,An ability you can practice and improve,A hidden wire,A missing file,A random color,20,1
10,Which reflection sentence is strongest?,It was fine.,The sensor trigger worked after I changed the threshold.,I did stuff.,The title is blue.,20,2
11,What should you do if a file link does not open?,Ignore it,Delete the project,Fix the link or reattach the correct file,Hide the folder,20,3
12,What does feedback help you do?,Avoid looking at the project,Remove all notes,Break the circuit,Finish corrections and improve the final project,20,4
13,Why keep test notes with the project?,They explain what happened during trials,They make code unnecessary,They remove the output,They hide the problem,20,1
14,What should an organized file name include?,Only random letters,Project topic or part name,Only spaces,Only a secret code,20,2
15,What should you do after finishing corrections?,Erase the folder,Unplug random parts,Submit the updated files and reflection,Hide the code,20,3
16,What can a final archive help with later?,Forgetting all changes,Making links fail,Deleting screenshots,Reviewing what you built and how you solved problems,20,4
17,Which item should not be archived?,A private password,A project photo,A code file,A reflection note,20,1
18,What is a good final check?,Look only at the folder color,Open each file and confirm it matches the project,Skip the project folder,Delete the source files,20,2
19,Why save a clean copy of the final code?,So the project cannot run,So wires disappear,So the final version is easy to identify,So notes are lost,20,3
20,What should you do if your project is incomplete?,Pretend everything worked,Hide the circuit,Delete the notes,Show the working part and explain the next fix,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
