"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is decomposition?,Breaking a larger task into smaller parts,Hiding the whole program,Deleting every block,Changing a password,20,1
2,What is a subroutine?,A broken sensor,A reusable set of steps for one action,A chart title,A private message,20,2
3,Why use subroutines in Scratch?,They remove all events,They hide the sprites,They make code easier to organize,They stop testing,20,3
4,What is a loop?,A one-time title,A spreadsheet row,A source link,A block or structure that repeats actions,20,4
5,What is an event in Scratch?,Something that starts an action,A private password,A table border,A folder color,20,1
6,Which Scratch plan uses decomposition?,All blocks are random,"Move, score, and reset are separate labeled actions",No actions have names,Every sprite is hidden,20,2
7,What is a list in Scratch?,A robot wheel,A private email,A group of related items,A chart axis,20,3
8,Why organize data in a list?,To delete the project,To hide every item,To remove feedback,To store related items in one place,20,4
9,What is a credible source?,A source you can trust for good reasons,A page with no author or date,A random rumor,A broken link only,20,1
10,What should you check in an online source?,Only the background color,"Author, date, purpose, and support",Only the link length,Only the font,20,2
11,What is plagiarism?,Writing your own idea,Giving source credit,Using someone's work as if it is yours,Testing your program,20,3
12,Why record image credit?,To hide the creator,To remove the image,To change the topic,To show where the image came from,20,4
13,What should a cause-based blog section include?,"Title, audience, main idea, image idea, and source credit",Only a private password,Only a robot route,Only a random sound,20,1
14,What does audience mean?,A spreadsheet formula,The people your message is for,A micro:bit part,A hidden file,20,2
15,Why revise a media post?,To hide the post,To remove source notes,To make the message clearer after feedback,To make every link fail,20,3
16,What is a micro:bit sensor system?,A spreadsheet chart only,A blog title only,A Scratch backdrop only,A system that uses sensor input to trigger output,20,4
17,What should a system diagram show?,"Input, process, output, and parts",Only a title,Only a picture,Only a secret note,20,1
18,What is a threshold rule?,A source credit,A value limit that changes the response,A row number,A sprite name,20,2
19,Why write testing questions for a sensor plan?,They hide the input,They remove output,They help you check whether the system works,They replace the diagram,20,3
20,Which sensor-system plan is clear?,"If title is nice, hide code","If source is long, delete sprite","If chart is blue, stop all work","If distance is below the limit, play an alert",20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
