"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What should you check before using a numbered mBot?,Readiness checklist,Secret password,Poster color,Random file,20,1
2,What does a readiness checklist help you notice?,The best background music,Missing or unsafe robot parts,A hidden browser tab,A private message,20,2
3,What belongs in a vocabulary table?,Only a title,Only a game score,"Word, meaning, visual or example, and sentence",Only a battery,20,3
4,What is a data table?,A robot wheel,A private chat,A 3D shape only,Rows and columns used to organize information,20,4
5,What should each column header tell you?,What information is in that column,The color of the screen,Who owns the robot,The shape of the desk,20,1
6,Why include units in mBot data?,They hide the result,They show what a number measures,They replace the table,They delete the chart,20,2
7,Which record is useful for mBot data?,Only a smiley face,Only a random name,"Trial 1, route time, distance, and result",Only a folder color,20,3
8,What does readable formatting do?,Makes all values disappear,Stops formulas,Changes the robot parts,Makes the table easier to understand,20,4
9,What does a formula do in a spreadsheet?,Calculates a result from values,Paints the robot,Creates a private password,Deletes a column,20,1
10,Which symbol often starts a formula?,Question mark,Equals sign,Pencil mark,Stop sign,20,2
11,What does total mean?,The smallest label,A hidden picture,The sum of values,A random title,20,3
12,What does average mean?,The largest picture,A robot color,A private note,A typical value found by sharing a total evenly,20,4
13,Why use formulas with mBot data?,To calculate totals or averages accurately,To make data random,To hide the table,To remove all numbers,20,1
14,What should you do before making a chart?,Delete the headers,Check that the table has clear data and labels,Hide all values,Change the robot name,20,2
15,What does a chart help you see?,Only a password,Only a battery charge,Patterns or comparisons in data,Only the browser name,20,3
16,What should a chart title explain?,The file owner's address,The computer's brand,The robot's nickname only,What the chart is about,20,4
17,Why do chart labels matter?,They help people understand the values,They make bars invisible,They erase the table,They remove the conclusion,20,1
18,Which conclusion fits a chart?,The chart is blue.,The fastest route had the shortest time.,The file has a title.,I clicked a button.,20,2
19,What should you answer after making a chart?,Only your favorite color,Only a hidden number,Questions about what the chart shows,Only a random shape,20,3
20,How can you improve a messy data table?,Add random numbers,Remove every label,Use no categories,"Fix headers, spacing, and missing values",20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
