"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is an mBot Knowledge Card used for?,A guide for a robot action or programming step,A place to store passwords,A poster decoration only,A way to skip testing,20,1
2,What should you predict before using a card?,A score without doing the work,What robot action the card can help create,The school lunch menu,A random color,20,2
3,Which final challenge is realistic?,Build a new robot from scratch in one minute,Drive anywhere without a test area,Move through a short route and use one output or sensor,Use no commands,20,3
4,What is a success rule?,A secret answer,A team nickname,A random sound,A simple rule that says when the task is complete,20,4
5,What should you do when the challenge partly works?,Record the problem and improve one part,Delete all your work,Stop explaining,Hide the robot,20,1
6,What should the final demo include?,Only the team name,"Goal, robot action, test result, and improvement",Only a drawing,Only the battery number,20,2
7,Why prepare a one-minute explanation?,To avoid showing the robot,To replace the success rule,To clearly tell the audience what the robot does,To skip reflection,20,3
8,What is reflection?,A motor part,A sound effect only,A random route,Thinking about what worked and what to improve,20,4
9,What should you include with your STEM challenge?,"Challenge sheet, route/test data, notes, and code or screenshot",Only an empty folder,Only a poster,Only a class list,20,1
10,Why complete the readiness checklist?,To make the robot disappear,To return the mBot kit organized and ready,To skip the final reflection,To avoid charging the battery,20,2
11,Which role helps a team of three work fairly?,"Runner, jumper, and singer","Painter, buyer, and seller","Driver, tester, and recorder","Reader, drawer, and guesser only",20,3
12,"What should you explain about the card, block, or part used?",Why it was hidden,Why no test was needed,How it changed the school calendar,How it helped the robot complete the task,20,4
13,What is a station in card practice?,A place set up for one activity,A robot password,A hidden code,A type of poster,20,1
14,Which action shows perseverance?,Giving up after one mistake,Trying a fix after a failed test,Blaming another group,Deleting the plan,20,2
15,What should be cleaned up after the final demo?,Only the screen background,Only the class title,"mBot kit, cards, test area, files, and notes",Only the route word,20,3
16,Which explanation is strongest?,It worked,The robot was fun,We used stuff,"It followed the route, beeped, and the turn time was shortened",20,4
17,Why save your code or a screenshot?,To show what was built and tested,To avoid the demo,To hide the route,To erase all mistakes,20,1
18,What should you do if hardware is not ready?,Skip all work,Use your plan and ask for a short robot station,Throw away the checklist,Invent a fake result,20,2
19,What should you do before using a Knowledge Card?,Guess without reading,Skip the picture,Read the card and predict the action,Hide the card,20,3
20,What should your final challenge test show?,Only a team name,Only a battery number,Only a poster,The robot meets the success rule,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
