"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What does print do in Python?,Displays text or output,Deletes code,Hides the screen,Opens a private message,20,1
2,What is a variable in Python?,A fixed picture only,A name that stores a value,A hidden folder,A binary digit only,20,2
3,What does input ask for?,Only a background color,Only a file name,Information from the user,Only a robot sensor,20,3
4,Why use labeled output?,So the result is hidden,So numbers disappear,So comments stop working,So the result is clear to read,20,4
5,What is a comment?,A note in code that explains something,A command that always runs,A deleted file,A hidden value,20,1
6,What does if/else do?,Repeats forever only,Chooses between actions based on a condition,Deletes variables,Changes the keyboard,20,2
7,Which condition checks if age is at least 12?,age = blue,age +,age >= 12,print age only,20,3
8,What does a multi-branch choice use?,Only one hidden value,No decisions,A folder color,Several conditions or messages,20,4
9,What is a loop?,Code that repeats,A one-time title,A hidden variable,A file link,20,1
10,What is a counter?,A private password,A value used to count repeats,A screen title,A sensor cable,20,2
11,Why test a loop carefully?,Loops never have problems,Testing removes code,A small mistake can repeat the wrong action,A loop is only a picture,20,3
12,What is debugging?,Hiding the error,Deleting all code,Changing random colors,Finding and fixing code problems,20,4
13,Which issue is a syntax error?,A missing colon after if,A clear variable name,A useful comment,A working print line,20,1
14,Which issue is a logic error?,The file opens,The code runs but gives the wrong result,The comment is clear,The output is labeled,20,2
15,What should you submit after fixing code?,Only a random screenshot,Only a private note,Corrected code and a list of fixes,Only a title,20,3
16,What is representation?,A hidden project,A deleted variable,A screen color,How information is shown or stored,20,4
17,What is binary?,A number system using 0 and 1,A Scratch button,A private folder,A Python comment only,20,1
18,Which binary digit is valid?,2,1,8,A,20,2
19,What is a micro:bit input?,Only an icon output,Only a Python print,A button press or sensor value,Only a file name,20,3
20,What should a Scratch plus micro:bit setup test?,Only the page title,Only the folder color,Only a deleted sprite,Whether the micro:bit input controls the planned action,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
