Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is decomposition in app design?,Breaking an app idea into smaller tasks,Deleting the app idea,Hiding the screen,Changing a password
What is a user?,A person who will use the app,A random file,A robot part,A Python error
What is a screen in an app?,One view or page the user sees,A private message,A sensor wire,A spreadsheet formula
What is an event?,Something that starts an action,A hidden file,A broken cable,A chart title
What is input in an app?,Information or action from the user,Only the final result,A deleted button,A hidden folder
What is output in an app?,What the app shows or does after input,A private password,A random note,A missing screen
What is a button?,An interface element the user can press,A Python loop,A file archive,A binary digit only
What can a variable store in an app?,A changing value such as score or choice,Only a title,Only a sensor wire,Only a hidden file
Why plan the app purpose?,To know what problem the app should solve,To avoid the user,To hide the screens,To remove all events
What should an event map show?,How actions move the user between screens,Only the app color,Only a private link,Only a keyboard key
What should an app screen plan include?,"Screens, interface elements, events, input, and tests",Only a random picture,Only a password,Only a folder name
What is a test case?,A specific check for expected behavior,A hidden screen,A deleted file,A random icon
Which test case is clear?,Tap Start and the app opens the quiz screen.,Try the app.,Make it better.,Use blue.
What is a user need?,A problem or goal the app should help with,A random decoration,A hidden variable,A broken button
What should a user-needs chart include?,"Audience, problem, feature, and success criteria",Only a title,Only a folder color,Only a Python command
Why test your event map with a partner?,To find confusing screen changes,To hide the app,To remove feedback,To delete variables
What is feedback?,Helpful comments about what works or needs change,A secret password,A binary number,A circuit part
What should you revise after testing?,"One screen, event, or test case that was unclear",Only the date,Only a random color,Only the folder name
What does success criteria explain?,How you know the app idea works,Why the app is hidden,How to delete screens,Which file is private
Which app plan is strongest?,"It names the user, problem, screens, actions, and tests",It has only a title,It hides all controls,It has no user
