Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What should you do during a make-up window?,Finish missing work or organize files as directed,Start a random new project,Hide every file,Delete the folder
Why organize project files?,So work can be found and checked later,So links break,So notes disappear,So the project is hidden
What belongs in a final project folder?,"Plan, diagram, test table, screenshots, and reflection",Only a private password,Only a random image,Only an empty page
What is a useful final reflection?,"A note about what worked, what was hard, and what improved",Only the date,Only the file size,Only a color
What should you check before closing a project?,Files open and names are clear,Links are broken,Tables are blank,Screenshots are missing
Which file name is clearest?,mandrake-test-table-final,stuff,new new,random
Why save a clean final copy?,To know which version is complete,To hide the project,To make feedback useless,To delete changes
What should you do if a link fails?,Fix it or attach the correct file,Ignore it,Delete the evidence,Hide the project
Which reflection sentence is strongest?,I changed the threshold after three early alerts.,It was okay.,I forgot.,The folder is blue.
What can quiet review help you do?,Remember key words and finish missing details,Remove every note,Hide your files,Skip all corrections
What should a make-up presentation include?,"Goal, input, output, test result, and improvement",Only a title,Only a password,Only a random icon
Why keep screenshots with project notes?,They show what you built or tested,They erase the project,They replace all explanations,They hide mistakes
What should you do after correcting work?,Submit the updated file or link,Delete the update,Hide the folder,Close without saving
Which item should not be submitted?,A private password,A project plan,A test table,A reflection note
What makes a file easy to find?,Clear name and organized folder,No name,Random letters only,Hidden location
Why review vocabulary at the end?,To strengthen key ideas before closing the unit,To delete old learning,To avoid reflection,To hide the project
What should you do if your project is incomplete?,Show what works and explain the next fix,Pretend it is perfect,Hide the issue,Delete the notes
What is one responsible closure habit?,"Save, submit, and clean up files",Leave tabs open forever,Remove all labels,Hide the work
What should final file organization prove?,You can find your work and explain it,You deleted everything,You avoided saving,You hid all notes
Why keep a reflection short and specific?,It is easier to understand what changed,It makes the project secret,It removes all details,It replaces testing
