"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What should the data exam project plan include?,"Question, source, chart plan, product, tasks, and presentation",Only a title,Only a color palette,No source note,20,1
2,Why should the dataset source be recorded?,To hide the data,So others know where the data came from,To remove limitations,To skip the chart,20,2
3,What does responsible data mean?,Changing results to win,Ignoring sources,"Using data carefully, fairly, and with privacy in mind",Deleting limitations,20,3
4,What is project readiness?,Starting without a question,Having only a blank file,Skipping deadlines,"Data, files, and a clear plan for project work",20,4
5,A project plan has a question but no dataset. What is missing?,A source or collection method for data,A poster logo only,A robot wheel,A Scratch costume,20,1
6,Why finalize labels and units before building the product?,They make labels unnecessary,They help the audience understand the chart correctly,They remove the question,They hide the source,20,2
7,What is a data story?,A random personal opinion,A hidden link,An explanation that uses data as evidence,A blank chart,20,3
8,Which progress screenshot is useful?,A screenshot of an empty desktop,A missing link,A random game,One that shows the chart or product section being built,20,4
9,What should you test during project review?,"Clarity, labels, calculations, and conclusion",Only the background color,Only the file name,Only the seating plan,20,1
10,What is peer feedback used for?,Deleting the chart,Improving the product before final submission,Deleting source notes,Changing the question randomly,20,2
11,Which feedback is strongest?,It is boring,Make it better,"Your conclusion says everyone, but your data only sampled one class",I like blue,20,3
12,What should a revised conclusion match?,The preferred answer only,A random opinion,The longest sentence,The data shown in the chart or table,20,4
13,Why explain a limitation?,It shows what the data can and cannot support,It weakens honesty,It removes the need for data,It proves the chart is wrong,20,1
14,Which statement handles limitation well?,The chart proves everyone agrees,"The sample is one class, so limit the recommendation to that group",Limitations do not matter,The data is perfect,20,2
15,What should the final product include?,Only a title,Only raw data,"Clear chart, data statements, source note, and design choices",Only a screenshot with no labels,20,3
16,What belongs in the final presentation?,Only your name,Only a chart color,Only a hidden link,"Question, method, chart, conclusion, limitation, and product",20,4
17,Why rehearse the presentation?,To make the explanation clear and timed,To avoid showing your chart,To remove the chart,To skip reflection,20,1
18,Which recommendation is evidence-based?,Add bins because I like them,Add bins because 72 percent of classmates reported weekly use,Do anything,No recommendation needed,20,2
19,What should a final reflection discuss?,Only the title,Only the deadline,"Data quality, limitations, learning, and improvement",Only a classmate's name,20,3
20,Why check links and files before submission?,To make the project hidden,To delete the dataset,To remove the reflection,To make sure your project files open correctly,20,4
21,Which project risk should you avoid?,Using a chart without labels or source note,Explaining a limitation,Testing with a peer,Saving your work,20,1
22,What is a final product?,A rough idea only,The completed data project artifact,A missing dataset,A private password,20,2
23,What does method mean in a presentation?,Only the background color,A robot sensor,"How the data was collected, cleaned, analyzed, or shown",A Scratch sprite,20,3
24,Which answer shows mature data reasoning?,The data proves everything,"The chart is colorful, so it is correct",I do not need a source,"The data suggests a trend, but the sample size limits the conclusion",20,4
25,What should you submit at the end?,"Your final product, dataset, source notes, and reflection",Only a title slide,Only a blank file,Only a rough draft,20,1
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
