"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What should you do during make-up time?,"Finish missing files, corrections, or final reflection",Start an unrelated topic,Hide the product,Delete the logbook,20,1
2,Why organize a portfolio?,So links break,So project files and proof are easy to find,So notes disappear,So files are hidden,20,2
3,What belongs in a STEM project portfolio?,Only a private password,Only a random icon,"Proposal, design files, test notes, screenshots, and reflection",Only an empty folder,20,3
4,What should you check before final closure?,Links fail,Screenshots are missing,Notes are blank,Files open and names are clear,20,4
5,Which file name is clearest?,stem-project-final-demo,stuff,new,abc,20,1
6,What should a final reflection correction improve?,Only the color,"Specific details about problem, testing, and improvement",Only the file size,Only a private note,20,2
7,What should you do if a final link is broken?,Ignore it,Delete the project,Fix it or attach the correct file,Hide the folder,20,3
8,Which item should not be included?,A project screenshot,A proposal,A reflection,A private password,20,4
9,What does course closure mean?,"Finishing, organizing, and reflecting on work",Deleting all files,Avoiding submissions,Starting random work,20,1
10,Why keep test notes after the project?,They make testing unnecessary,They explain how the product was checked,They hide results,They break the prototype,20,2
11,What should you do if your project is incomplete?,Pretend it is complete,Hide the issue,Show the working part and explain the next fix,Delete all notes,20,3
12,Which reflection sentence is strongest?,It was good.,We finished.,The folder is red.,"Test 2 bent too much, so we changed the support.",20,4
13,What should final exam tasks be handled with?,"Focus, honesty, and organized files",Random clicking,Hidden notes,Broken links,20,1
14,What can portfolio organization help you review?,Only the folder color,Your design process and final learning,Only private messages,Only file size,20,2
15,Why should final work use clear links?,So nobody finds it,So the product fails,So the correct product can be opened,So notes disappear,20,3
16,What is a useful closing habit?,Leave files scattered,Delete proof,Hide feedback,"Save, submit, organize, and reflect",20,4
17,What should you archive neatly?,"Final product, notes, tests, and reflection",Passwords,Random downloads,Empty folders only,20,1
18,Why check final requirements one last time?,To make work hidden,To catch missing pieces before the trimester closes,To avoid correction,To delete files,20,2
19,What should you do after fixing missing work?,Close without saving,Hide the folder,Submit the updated file or link,Remove the project,20,3
20,What should final course reflection help you notice?,Only a random score,Only a secret code,Only a file color,Skills you practiced and what you can improve next,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
