Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is the purpose of a detection system?,Notice a condition and respond,Hide every sensor,Delete the output,Make a random blog
What should a sensor-system plan include?,"Purpose, input, output, threshold, diagram, and tests",Only a title,Only a color,Only one random word
Why make a test table?,"To record readings, threshold choices, and results",To hide all values,To replace testing,To remove the sensor
What should you adjust after reading distance values?,Threshold rule,Blog title,Spreadsheet color,Scratch costume only
What does project readiness mean?,"You have the plan, parts, tests, and next step ready",You have no files,You skipped the plan,You deleted the diagram
Why complete a review before setup?,To remember key vocabulary before building,To start an unrelated task,To hide weak spots,To avoid the project
What should the Mandrake Detection System detect?,A sensor condition such as distance,A website audience,A spreadsheet row,A private message
What should a first test idea explain?,What input you will try and what output should happen,Only the team name,Only a folder color,Only a source link
What is Bluetooth used for in the project idea?,Sending a signal between devices when available,Drawing a chart,Writing a blog title,Deleting the program
What should you document while testing?,"Reading, threshold, output, result, and fix",Only a smiley face,Only the month,Only a hidden file
What is reliability?,How dependably the system works,How colorful the page is,How long a file name is,How secret the source is
What should you do if the alert happens too early?,Change the threshold and retest,Hide the sensor,Delete the output,Ignore the readings
What should you do if equipment is unavailable?,Use a clearly labeled simulation,Pretend the build worked without notes,Delete the plan,Hide the explanation
Why rehearse the presentation?,"To explain purpose, parts, reading, rule, and result",To hide the project,To skip testing,To remove the diagram
What should the final presentation show?,"Detection, threshold, output, challenge, and improvement",Only a title,Only a random sound,Only a private link
What is a realistic improvement?,A change that could make the system work more dependably,A fantasy feature with no plan,A hidden file,A deleted sensor
What should a challenge statement describe?,The hard part you solved or tried to solve,Only the project color,Only the folder name,Only the blog title
What is a result?,What happened after testing,A private password,A random sprite,A source credit only
Why keep the diagram and test table together?,They help explain how the system was planned and checked,They make the project invisible,They remove the output,They break the code
Which explanation is strongest?,"The reading crossed the threshold, so the alert played.",It worked because I said so.,The color was nice.,I clicked things.
