"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What should the dance game project plan include?,"Goal, controls, moves, variables, feedback, and roles",Only a sprite name,Only a poster palette,Only a due date,20,1
2,Why build a prototype before the final game?,To avoid all debugging,To test one feature and find what still needs work,To skip testing,To remove player input,20,2
3,What is a subroutine?,A source credit line,A breadboard row,A smaller named part of a program that can be reused,A chart title,20,3
4,Which feature is a good subroutine?,A random background image,The classroom schedule,A poster title,DanceMove1 that runs the same move when called,20,4
5,What is input in the dance game?,"A key press, click, or sprite touch from the player",A printed poster,A robot sensor wire,A data chart,20,1
6,Which variable would help track progress?,credit,score,alignment,ground,20,2
7,Which variable would help limit game time?,logo,resistor,timer,source,20,3
8,What should success feedback do?,Hide all results,Delete the score,Stop every script,Tell the player the correct action worked,20,4
9,What should failure feedback do?,Show that the player missed or chose the wrong input,Reward the wrong move,Remove all rules,Ignore the player,20,1
10,Which bug should be recorded?,The project has a clear title,The correct key did not change the costume,The title screen is clear,The sprite exists,20,2
11,What does functionality mean?,How colorful the folder is,How many classmates are in class,How well the game does what it should do,How loud the room is,20,3
12,Which project record is strongest?,Only a screenshot with no notes,Only a game idea,Only the file name,"Working game, test notes, bug fix, and code explanation",20,4
13,Why prepare a 1.5 to 2 minute demonstration?,"To explain rules, controls, code, and real-world use",To avoid showing the game,To replace all testing,To skip reflection,20,1
14,What should the real-world application explanation connect to?,Only the sprite color,How programming concepts can be used outside the game,Only the class period,Only the background image,20,2
15,Which part of your project is about code being easy to follow?,Image credit,Circuit safety,Code organization,Data privacy,20,3
16,Score does not increase. What should you check?,The poster source,The Arduino board,The dataset source,The input condition and score-change block,20,4
17,Which final improvement is meaningful?,Make timing clearer after peer feedback,Change color randomly with no reason,Delete the instructions,Remove feedback,20,1
18,What should you do before presenting?,Delete the project file,Test the start sequence and practice the explanation,Skip testing,Hide the controls,20,2
19,Which presentation statement is strongest?,It works because it works,The game is nice,Space key runs left move and increases score at the right time,We used Scratch,20,3
20,What should your reflection explain?,List only the team names,Draw only a sprite,Hide the testing results,"Bug fixed, improvement made, and skill learned",20,4
21,Which role helps pair programming stay organized?,Driver and navigator responsibilities,Everyone clicking at the same time,No one recording bugs,One person doing everything,20,1
22,Why save a clear filename?,So variables disappear,So the final project can be found and submitted,So the sprite cannot move,So the file is hidden,20,2
23,What should a final dance game include?,Only a background,Only a poster,"Rules, input, score or timer, feedback, and dance moves",Only a blank sprite,20,3
24,What best shows your improvement?,A hidden bug,A deleted script,A missing project file,Before-and-after test note explaining what changed,20,4
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
