"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is a 3D model?,"A digital object with height, width, and depth",A flat table only,A private message,A browser address,20,1
2,Which is a basic 3D shape?,Website link,Cube,Chat message,Spreadsheet cell,20,2
3,What does resize mean in 3D modeling?,Delete the object,Hide the screen,Change the size of an object,Change a password,20,3
4,What does rotate mean?,Copy a formula,Open a browser,Send a packet,Turn an object,20,4
5,Why combine basic shapes?,To build a simple object,To erase the design,To make data random,To stop all modeling,20,1
6,What should your model sketch show?,Only a blank box,At least three labeled shapes,Only a secret note,Only a web link,20,2
7,What does model purpose mean?,The color of the toolbar,The folder password,What the model is for,The mBot speed only,20,3
8,What is a planned improvement?,A random extra shape,A hidden mistake,A deleted screenshot,A change that could make the design better,20,4
9,What should you save from a 3D model task?,A simple model or screenshot,Only a private password,Only a browser tab,Only a chart title,20,1
10,Which design choice is clearest?,Use random shapes with no plan,Use shapes that match the object purpose,Hide all labels,Make every part tiny,20,2
11,What is a micro:bit?,A spreadsheet formula,A website menu,A small programmable board,A 3D cube only,20,3
12,Which micro:bit part shows icons or text?,Robot wheel,Folder icon,Chart label,LED display,20,4
13,Which part can you press on a micro:bit?,Button,Header,Column,3D camera only,20,1
14,What is input on a micro:bit?,Only the final picture,Information the board can detect or receive,A hidden file,A table border,20,2
15,What is output on a micro:bit?,A private password,A deleted formula,What the board shows or does,A browser address,20,3
16,Which is a micro:bit input example?,LED icon,Displayed text,Printed title,Button press,20,4
17,Which is a micro:bit output example?,LED display icon,Temperature reading,Button press,Light level value,20,1
18,Why sort examples into input and output?,To hide the board,To understand how the board responds,To make the file private,To delete the sketch,20,2
19,What should a parts check include?,Only the board color,Only a chart,Labels for important micro:bit parts,Only a 3D shape,20,3
20,What does a simple diagram help you explain?,Which password to use,How to delete data,How to hide a model,Where parts are and what they do,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
