"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What should you do during a make-up window?,Finish missing work or organize files as directed,Start a random new project,Hide every file,Delete the folder,20,1
2,Why organize project files?,So links break,So work can be found and checked later,So notes disappear,So the project is hidden,20,2
3,What belongs in a final project folder?,Only a private password,Only a random image,"Plan, diagram, test table, screenshots, and reflection",Only an empty page,20,3
4,What is a useful final reflection?,Only the date,Only the file size,Only a color,"A note about what worked, what was hard, and what improved",20,4
5,What should you check before closing a project?,Files open and names are clear,Links are broken,Tables are blank,Screenshots are missing,20,1
6,Which file name is clearest?,stuff,mandrake-test-table-final,new new,random,20,2
7,Why save a clean final copy?,To hide the project,To make feedback useless,To know which version is complete,To delete changes,20,3
8,What should you do if a link fails?,Ignore it,Delete the evidence,Hide the project,Fix it or attach the correct file,20,4
9,Which reflection sentence is strongest?,I changed the threshold after three early alerts.,It was okay.,I forgot.,The folder is blue.,20,1
10,What can quiet review help you do?,Remove every note,Remember key words and finish missing details,Hide your files,Skip all corrections,20,2
11,What should a make-up presentation include?,Only a title,Only a password,"Goal, input, output, test result, and improvement",Only a random icon,20,3
12,Why keep screenshots with project notes?,They erase the project,They replace all explanations,They hide mistakes,They show what you built or tested,20,4
13,What should you do after correcting work?,Submit the updated file or link,Delete the update,Hide the folder,Close without saving,20,1
14,Which item should not be submitted?,A project plan,A private password,A test table,A reflection note,20,2
15,What makes a file easy to find?,No name,Random letters only,Clear name and organized folder,Hidden location,20,3
16,Why review vocabulary at the end?,To delete old learning,To avoid reflection,To hide the project,To strengthen key ideas before closing the unit,20,4
17,What should you do if your project is incomplete?,Show what works and explain the next fix,Pretend it is perfect,Hide the issue,Delete the notes,20,1
18,What is one responsible closure habit?,Leave tabs open forever,"Save, submit, and clean up files",Remove all labels,Hide the work,20,2
19,What should final file organization prove?,You deleted everything,You avoided saving,You can find your work and explain it,You hid all notes,20,3
20,Why keep a reflection short and specific?,It makes the project secret,It removes all details,It replaces testing,It is easier to understand what changed,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
