Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Which design fits a recycling poster for younger classmates?,"Large readable text, simple wording, and a clear image",Tiny paragraphs and complex statistics only,No title or image,Random decoration with no message
Which poster has the clearest purpose?,It tells classmates to bring reusable water bottles,It uses five unrelated images,It has no main message,It hides the topic in small text
You use an online image. What source detail should you include?,Source or credit information,Only the image color,Only the file size,No information
Which revision improves contrast?,Dark text on a light background,Yellow text on white background,Tiny gray text on gray background,No text at all
What does alignment help with?,Keeping text and objects organized,Making all text unreadable,Removing the title,Ignoring image credit
Why should a poster have one main message?,So the audience understands the action quickly,So the reader has to guess,So the design looks crowded,So the title can be hidden
Which is a copyright-friendly choice?,Use an image allowed for reuse and record credit,Copy any image without checking,Remove the creator's name,Use no source information
What makes a brand style consistent?,"Repeated colors, logo, typography, and layout choices",A different font and color on every slide,No shared design choices,Only random clip art
A logo is hard to see on a poster. What should be changed?,"Size, contrast, or placement",Only your name,The due date only,The whole topic
Which color palette is best for a clean environmental poster?,A small planned set of readable colors,Every color at once,Only colors that hide the text,No planned colors
What is typography?,The style and arrangement of text,A robot movement command,A sensor value,A Python loop
Which feedback is most useful?,"Your title is clear, but the image credit is missing",It is bad,I like blue,Change everything
What should you do after feedback?,Make a specific revision and explain it,Ignore all comments,Delete the poster,Hide the image source
What should you include for Weeks 1-2?,"Poster draft, final poster, image credit, logo, and branding",A robot route map only,A Python output only,A circuit diagram only
Which poster title is strongest?,Save Water: Turn Off the Tap,Stuff,My Poster,Untitled
Why compare two poster drafts?,To decide which communicates more clearly,To avoid revising,To remove the audience,To hide the purpose
Which slide design follows branding?,Same logo location and color palette as the poster,No connection to the poster style,Random fonts each slide,No readable message
What is the purpose of a credit line?,To say who made or provided the image,To make text smaller,To hide the source,To replace the poster title
Which layout problem hurts readability?,Text placed on a busy image with low contrast,A clear title,Enough spacing,Consistent alignment
What should the final poster submission show?,"Clear title, message, image, readable text, colors, and credit",Only a logo,Only an image with no text,Only a blank background
Why should the message match the audience?,Different audiences need different wording and examples,All audiences understand the same tiny text,Audience does not matter,It only changes the file name
Which design choice supports professionalism?,Consistent spacing and aligned elements,Crowded text and random placement,Missing source information,Unclear purpose
