Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What does a browser help you open?,Websites,Only pencils,Robot wheels,Printed books only
What is a domain name?,The readable name of a website,A secret password,A computer battery,A drawing tool
Why is DNS useful?,It helps match a website name to its address,It deletes messages,It makes images blurry,It turns off Wi-Fi
Which is an example of a website address?,academy.edu.pa,Turn left,Use blue paint,Move 20 steps
What is an IP address used for?,Finding a device or place on a network,Coloring a page,Making a poster title,Naming a sprite
Why can a long message be sent in packets?,Smaller parts are easier to move across a network,Packets make the message private forever,Packets remove all words,Packets are only for pictures
What should you do if one packet is missing?,Notice the message may be incomplete,Pretend the message is perfect,Erase every packet,Change the website title
What does order mean in a packet activity?,Putting message parts in the correct sequence,Choosing the brightest color,Making the route longer,Deleting the header
What is a shared file?,A file more than one person can work on,A file nobody can open,A robot part,A private password
Which comment is respectful?,I like your idea; maybe add a clearer title.,This is bad.,Give me your password.,Delete all your work.
What should you avoid sharing online?,Private personal information,A public class topic,A safe project title,A website menu idea
What is an audience?,The people who see or hear a message,The route a packet takes,The color of a button,The back of a laptop
Which message should stay private?,A password or personal address,A class poster title,A website topic,A safe teamwork reminder
What does permission mean?,Approval to use or share something,A broken link,A website section,A game score
What is a web page?,One page in a website,A robot motor,A packet header only,A keyboard shortcut
What belongs in a simple website plan?,"Title, audience, sections, image idea, and link idea",Only a password,Only one random picture,Only a battery
Why should a website have a clear title?,It helps visitors know what the page is about,It hides the page,It removes all links,It changes the internet address
What does public mean online?,Able to be seen by many people,Only visible to you,Broken or missing,Saved as a robot program
What does private mean online?,Only for certain people,Always copied everywhere,A kind of image credit,A Scratch costume
Which choice shows good online teamwork?,Use helpful comments and take turns editing,Spam the chat,Move files without asking,Ignore the shared task
What should you do before sending an online message?,"Check audience, kindness, and privacy",Share every detail,Use all capital letters,Delete the subject
What does route mean for a message?,The path it takes to get somewhere,The page color,The size of a photo,The score number
What is a network?,Connected devices that can share information,One loose cable only,A poster with no text,A private notebook
Which part of a packet holds the main message?,Payload,Sticker,Battery,Paint
Which part of a packet helps it get delivered?,Header,Sprite,Score,Folder color
