Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What does a sensor help a micro:bit do?,Detect something from the environment,Draw a 3D cube,Open a website,Make a spreadsheet formula
Which is a sensor condition?,"If light is low, show an icon","If title is blue, delete files","If chart exists, hide values","If desk is near, make a password"
What does true mean in an if/then flowchart?,The condition is met,The program is deleted,The board is unplugged,The chart has no labels
What does false mean in an if/then flowchart?,The condition is not met,The input is always correct,The output is hidden forever,The model is finished
What should an if/then flowchart include?,"Condition, true output, and false output",Only a title,Only a picture,Only a password
Which output fits a light condition?,Show a sun or moon icon,Erase all code,Sort a table,Resize a 3D model
What is a temperature condition?,A rule based on a temperature value,A web page section,A shape label,A route map
Why explain your flowchart in one sentence?,To show how the input controls the output,To hide the condition,To make the board random,To remove the sensor
What should your final project plan include?,"Input, output, and success rule",Only a random color,Only a secret note,Only a file size
What is a success rule?,How you know the project works,A hidden password,A browser setting,A chart style
Why build with familiar blocks?,You can focus on making the project work,You must start with unknown tools,You should avoid testing,You should delete old practice
What should you test in a final project?,"Input, output, and expected response",Only the project name,Only the board color,Only the folder icon
What should you do if the output is wrong?,Check the condition and blocks,Hide the board,Change a random title,Delete the plan
What should a partner help you practice?,A short explanation of what the project does,A private password,A random drawing,A file deletion
What should your demonstration show?,The project input and output working,Only a hidden file,Only a blank board,Only the desk number
What should you say in a one-minute demo?,"Goal, input, output, and one fix or improvement",Only your favorite color,Only the date,Only a secret code
Which final project is clear?,A button counter that shows the number and explains the change,A board with no output,A random file,A chart with no title
Why save a screenshot or photo?,To show what you built and tested,To hide the result,To delete the program,To replace the explanation
What is one useful improvement?,Make the icon clearer when the condition is true,Remove all outputs,Hide the input,Make the board unreadable
What should you do after the final demo?,Close files neatly and reflect on what you learned,Delete all work,Hide the board,Change every label randomly
