"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is a vector graphic?,An image made from shapes and paths that scales cleanly,A photo made only of pixels,A private message,A robot motor,20,1
2,Why are vector graphics useful for logos?,They always become blurry,They can resize without losing clean edges,They need no design choices,They cannot use color,20,2
3,What is fill?,The outline only,A website link,The color inside a shape,A robot signal,20,3
4,What is stroke?,A hidden folder,A search query,A sensor reading,The outline of a shape or path,20,4
5,What is z-order?,The front-to-back order of objects,The speed of a robot,A password order,A browser address,20,1
6,What does alignment help you do?,Hide every object,Line objects up neatly,Delete all shapes,Make links open,20,2
7,What does distribution help you do?,Change a password,Read a sensor,Space objects evenly,Upload a robot script,20,3
8,What does grouping do?,Turns shapes into sound,Deletes the design,Makes text private,Joins objects so they move together,20,4
9,Why duplicate repeated objects?,To keep a pattern consistent,To make each object disappear,To remove the campaign,To change the source,20,1
10,What is a path?,A web page title,A line or shape made from points,A robot battery,A private chat,20,2
11,What is a node?,A folder icon,A source note,A point that controls part of a path,A Scratch score,20,3
12,What should a campaign graphic communicate?,Only random shapes,Only a hidden file,Only a robot command,"Audience, message, and action idea",20,4
13,Why sketch before making the graphic?,"To plan message, shapes, and layout",To skip design choices,To hide the goal,To remove originality,20,1
14,What is originality?,Copying a logo exactly,Making work that is your own idea,Using no message,Deleting all shapes,20,2
15,Which icon idea fits an environmental campaign?,A random password,A hidden button,A clean-water symbol with simple shapes,A robot sensor only,20,3
16,What should color choices support?,Only the file size,Only the computer brand,Only the search engine,The campaign message and readability,20,4
17,What is SVG?,A file format for vector graphics,A robot sensor,A private message,A browser password,20,1
18,What is markup?,A broken cable,Text that describes structure or design,A blank poster,A sound signal,20,2
19,What is a tag?,A motor value,A search result only,A markup label inside angle brackets,A folder color,20,3
20,What is an attribute?,A wheel on the robot,A random icon,A deleted link,Extra information inside a tag,20,4
21,What does scalable mean?,Able to change size without losing quality,Always tiny,Not editable,Only black and white,20,1
22,What is a property in SVG or design?,A private address,A setting that can be changed,A movement command,A missing file,20,2
23,Why review a campaign graphic?,To erase it without looking,To remove all color,"To improve clarity, message, and design choices",To hide it from the group,20,3
24,What should before-and-after work show?,Only a blank page,Only a private note,Only a random image,What changed and why it improved the graphic,20,4
25,Which graphic is easiest to understand?,"Simple shapes, clear contrast, and a focused message",Many unrelated icons,Tiny hidden text,No title or message,20,1
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
