"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is the purpose of a detection system?,Notice a condition and respond,Hide every sensor,Delete the output,Make a random blog,20,1
2,What should a sensor-system plan include?,Only a title,"Purpose, input, output, threshold, diagram, and tests",Only a color,Only one random word,20,2
3,Why make a test table?,To hide all values,To replace testing,"To record readings, threshold choices, and results",To remove the sensor,20,3
4,What should you adjust after reading distance values?,Blog title,Spreadsheet color,Scratch costume only,Threshold rule,20,4
5,What does project readiness mean?,"You have the plan, parts, tests, and next step ready",You have no files,You skipped the plan,You deleted the diagram,20,1
6,Why complete a review before setup?,To start an unrelated task,To remember key vocabulary before building,To hide weak spots,To avoid the project,20,2
7,What should the Mandrake Detection System detect?,A website audience,A spreadsheet row,A sensor condition such as distance,A private message,20,3
8,What should a first test idea explain?,Only the team name,Only a folder color,Only a source link,What input you will try and what output should happen,20,4
9,What is Bluetooth used for in the project idea?,Sending a signal between devices when available,Drawing a chart,Writing a blog title,Deleting the program,20,1
10,What should you document while testing?,Only a smiley face,"Reading, threshold, output, result, and fix",Only the month,Only a hidden file,20,2
11,What is reliability?,How colorful the page is,How long a file name is,How dependably the system works,How secret the source is,20,3
12,What should you do if the alert happens too early?,Hide the sensor,Delete the output,Ignore the readings,Change the threshold and retest,20,4
13,What should you do if equipment is unavailable?,Use a clearly labeled simulation,Pretend the build worked without notes,Delete the plan,Hide the explanation,20,1
14,Why rehearse the presentation?,To hide the project,"To explain purpose, parts, reading, rule, and result",To skip testing,To remove the diagram,20,2
15,What should the final presentation show?,Only a title,Only a random sound,"Detection, threshold, output, challenge, and improvement",Only a private link,20,3
16,What is a realistic improvement?,A fantasy feature with no plan,A hidden file,A deleted sensor,A change that could make the system work more dependably,20,4
17,What should a challenge statement describe?,The hard part you solved or tried to solve,Only the project color,Only the folder name,Only the blog title,20,1
18,What is a result?,A private password,What happened after testing,A random sprite,A source credit only,20,2
19,Why keep the diagram and test table together?,They make the project invisible,They remove the output,They help explain how the system was planned and checked,They break the code,20,3
20,Which explanation is strongest?,It worked because I said so.,The color was nice.,I clicked things.,"The reading crossed the threshold, so the alert played.",20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
