Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is a vector graphic?,An image made from shapes and paths that scales cleanly,A photo made only of pixels,A private message,A robot motor
Why are vector graphics useful for logos?,They can resize without losing clean edges,They always become blurry,They need no design choices,They cannot use color
What is fill?,The color inside a shape,The outline only,A website link,A robot signal
What is stroke?,The outline of a shape or path,A hidden folder,A search query,A sensor reading
What is z-order?,The front-to-back order of objects,The speed of a robot,A password order,A browser address
What does alignment help you do?,Line objects up neatly,Hide every object,Delete all shapes,Make links open
What does distribution help you do?,Space objects evenly,Change a password,Read a sensor,Upload a robot script
What does grouping do?,Joins objects so they move together,Turns shapes into sound,Deletes the design,Makes text private
Why duplicate repeated objects?,To keep a pattern consistent,To make each object disappear,To remove the campaign,To change the source
What is a path?,A line or shape made from points,A web page title,A robot battery,A private chat
What is a node?,A point that controls part of a path,A folder icon,A source note,A Scratch score
What should a campaign graphic communicate?,"Audience, message, and action idea",Only random shapes,Only a hidden file,Only a robot command
Why sketch before making the graphic?,"To plan message, shapes, and layout",To skip design choices,To hide the goal,To remove originality
What is originality?,Making work that is your own idea,Copying a logo exactly,Using no message,Deleting all shapes
Which icon idea fits an environmental campaign?,A clean-water symbol with simple shapes,A random password,A hidden button,A robot sensor only
What should color choices support?,The campaign message and readability,Only the file size,Only the computer brand,Only the search engine
What is SVG?,A file format for vector graphics,A robot sensor,A private message,A browser password
What is markup?,Text that describes structure or design,A broken cable,A blank poster,A sound signal
What is a tag?,A markup label inside angle brackets,A motor value,A search result only,A folder color
What is an attribute?,Extra information inside a tag,A wheel on the robot,A random icon,A deleted link
What does scalable mean?,Able to change size without losing quality,Always tiny,Not editable,Only black and white
What is a property in SVG or design?,A setting that can be changed,A private address,A movement command,A missing file
Why review a campaign graphic?,"To improve clarity, message, and design choices",To erase it without looking,To remove all color,To hide it from the group
What should before-and-after work show?,What changed and why it improved the graphic,Only a blank page,Only a private note,Only a random image
Which graphic is easiest to understand?,"Simple shapes, clear contrast, and a focused message",Many unrelated icons,Tiny hidden text,No title or message
