Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
A group is ready to test the mBot. What should they do first?,Check that parts are secure and use the assigned test area,Place the mBot near the table edge,Hold the wheels while the motors run,Pull a cable if the robot moves too fast
Which sentence best explains what a robot is?,A machine that can follow instructions to do a task,A notebook used to record homework,A website used for pictures,A classroom rule about pencils
Which part helps the mBot wheels move?,Motor,Buzzer,LED,Notebook
What does a program give to the mBot?,Instructions to follow,Extra wheels,A poster title,A password
"What makes the mBot move, turn, and stop?",A sequence of commands,A copyright license,A color palette,A classroom seating chart
Why is safety important when using mBots?,"It protects people, devices, and classroom materials",It makes the robot louder,It changes the robot color,It removes the need for instructions
Which action is unsafe during a robot test?,Touching moving wheels,Watching from the assigned area,Checking the route markers,Writing the test result
What does a sensor help a robot do?,Notice something around it,Make a poster,Store a worksheet,Choose a team name
Which part can show a light signal?,LED,Wheel,Motor,USB cable
Which part can make a beep or sound?,Buzzer,Wheel,Marker,Notebook
Your robot goes too far. Which value should you change?,Time or speed,Poster title,Sticker color,Image credit
"Your mBot does not turn correctly. What should your team check?",The turn command and its value,The logo color,The worksheet font,The classroom door
Which answer is an example of an instruction?,Move forward for two seconds,The robot is blue,The class is noisy,The notebook is open
What should a labeled mBot diagram show?,Main parts and their functions,Only team names,Only random colors,Only the due date
Why should you explain one mBot part after labeling it?,To show you know what the part does,To avoid using vocabulary,To skip the safety check,To make the diagram blank
"If the mBot stops working, what is a good first step?","Pause, check safely, and ask for help if needed",Shake the robot hard,Pull random wires,Keep testing without looking
Which pair is correct?,Wheel helps movement,Buzzer detects distance,LED stores code,Motor shows image credit
What belongs in the Week 1 robotics vocabulary table?,"Definition, illustration, and example sentence",Only the word copied three times,Only a robot photo,Only a team name
A good robot test result tells...,What happened and what was changed,Only who won the race,Only the robot color,Only the classroom number
Which action shows responsible teamwork?,One teammate tests while another records results safely,Everyone grabs the mBot at once,The team ignores loose parts,The group drives outside the test area
Why do commands need to be in order?,The robot follows them step by step,The LED chooses randomly,Only the robot color matters,The motor ignores commands
What is the best reason to test slowly at first?,To find problems before trying a faster route,To finish without checking,To make the robot bump into objects,To skip recording results
