"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is a portfolio?,A collection of work that shows learning,One hidden password,A robot sensor,A broken cable,20,1
2,Why check required project pieces before building?,To hide missing files,To find what is missing early,To delete the plan,To remove feedback,20,2
3,What should a Google Sites shell include?,Only a blank home page,Only a private folder,Required pages and clear navigation,Only a robot command,20,3
4,What should the campaign homepage include?,Only a random image,Only a password,Only a blank section,"Title, purpose statement, call to action, and main graphic",20,4
5,What is a call to action?,Words that ask the reader to do something,A hidden file,A sensor threshold,A markup tag,20,1
6,Why add captions to media?,They hide the message,They help explain images or video,They remove the source,They delete the page,20,2
7,What should the campaign page explain?,Only one color,Only a folder name,"The issue, message, action, and design choices",Only a sensor reading,20,3
8,What should the vector page show?,Only copied images,Only a blank canvas,Only search history,"Original graphic, design choices, and improvement notes",20,4
9,What belongs on a research or credits page?,"Sources, links, media credits, and permission notes",Private passwords,Unrelated pictures,Hidden files only,20,1
10,Why test site navigation?,To make links fail,To make sure visitors can move between pages,To hide the menu,To remove every page,20,2
11,What should you check for readability?,Only file size,Only battery power,"Text size, contrast, spacing, and clear headings",Only robot speed,20,3
12,What should you fix if a link does not open?,The campaign topic,The computer memory,The graphic color only,The link address or button setup,20,4
13,Why review alt text?,To make images more accessible,To hide image meaning,To remove every image,To change the homepage title,20,1
14,What is revision?,A hidden source,A changed version made after review,A deleted project,A random icon,20,2
15,Which feedback is useful?,It is bad.,Use blue.,Homepage title is clear; call to action needs stronger words.,I do not know.,20,3
16,What should a reflection explain?,Only the date,Only a password,Only a missing page,What improved and what choices helped the audience,20,4
17,Why rehearse your portfolio presentation?,"To explain pages, design choices, and changes clearly",To hide the site,To skip all links,To delete the homepage,20,1
18,What should you do before sharing the final site link?,Make the site empty,"Check pages, links, media, credits, and permissions",Remove navigation,Hide the title,20,2
19,What is archive?,Delete all files,Break every link,Store files neatly for later,Change the topic randomly,20,3
20,What should you archive after the project?,Only trash,Only a random search,Only a hidden password,"Site link, images, video files, and notes",20,4
21,What should you do during a make-up or correction window?,"Finish missing links, pages, or file organization",Start an unrelated topic,Hide the project,Remove the source page,20,1
22,What makes a portfolio easy to use?,Broken links,Clear page titles and navigation labels,Tiny text,Unrelated media,20,2
23,What should your final site show about your campaign?,Only one color,Only copied images,"Message, research, design work, and action idea",Only a blank page,20,3
24,Which final check is most useful?,Look only at the folder name,Close the browser immediately,Delete the feedback notes,Open the site as a visitor and test each page,20,4
25,Why keep files organized after the project?,"So images, pages, and notes can be found later",So links break,So sources disappear,So the site cannot be revised,20,1
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
