Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What does copyright protect?,A creator's work,Only keyboard keys,A broken link,A robot wheel
Why should you write a credit line?,To show where an image or idea came from,To hide the source,To make text unreadable,To turn off the page
Which image choice is safest for a class web page?,A copyright-friendly image with a source,Any random image,A private photo without asking,An image with no source
What is a source?,Where information or an image came from,A sound block,A score number,A robot sensor
What should you record when choosing an image?,"Source, safe-use choice, topic fit, and credit line",Only the color,Only the file size,Only your favorite emoji
What makes an image fit your topic?,It clearly supports the page idea,It is unrelated but bright,It has no source,It covers all text
What is a website title?,The name or main heading of the page,The hidden password,The robot speed,The bottom of the mouse
What is a header?,The top label or section of a page,A packet route,A Scratch sound,An unplugged cable
What is a section?,One organized part of a page,A single loose letter,A broken button,A motor setting
Why preview your page?,To check how it looks before sharing,To erase the page,To make links stop,To remove the title
What makes text readable?,"Clear size, spacing, and contrast",Tiny letters on a busy image,Random words everywhere,No headings at all
What is navigation?,How people move around a website,How a sprite earns points,How a battery charges,How a sensor reads distance
What should a useful link do?,Open the page or place it promises,Go nowhere,Hide the menu,Change the page title randomly
Why test a link?,To make sure it opens correctly,To make the link disappear,To change the image source,To remove feedback
Which link label is clearest?,Learn more about recycling,Click here maybe,Stuff,Blue
What is Scratch?,A block coding tool,A website source,A type of e-waste,A menu button
What is a sprite?,A character or object in Scratch,A web page title,A network address,A private message
What is a script in Scratch?,A group of blocks that runs together,A web image credit,A packet address,A menu color
What does a variable store?,A value that can change,Only a picture,Only the page title,Only a website source
Which variable fits a game?,Score,Header,Copyright,Battery
What should happen when a sprite is clicked in a score game?,The score changes by the planned amount,The website deletes itself,The packet loses its header,The link stops working
Why test your Scratch score task?,To check that each sprite changes the score correctly,To hide the score,To remove every block,To change the image source
What does debug mean in Scratch?,Find and fix what is not working,Pick a random color only,Close the project forever,Add a source line
What should your Scratch score explanation include?,What each sprite does to the score,Only a website menu,Only one image source,Only the browser name
What should you fix if the score does not change?,The block or variable setup,The page audience,The image credit,The web address
