"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is the main purpose of Week 13?,"Final exam work, make-up tasks, reflection, and cleanup",Starting a brand-new major topic,Replacing the whole project,Skipping submission checks,20,1
2,What should you confirm before closing the data project?,Only the chart color is chosen,"Your final product, dataset, source notes, and reflection are ready",Only the room number is listed,Only the title is bold,20,2
3,Why organize a project portfolio?,So all files disappear,So links break,So your work can be found and reviewed later,So the dataset is hidden,20,3
4,Which file should be archived?,A random unrelated download,An empty folder only,A private password,Final data product or chart screenshot,20,4
5,What should you do with returned feedback?,Use it to correct your work or improve the final reflection,Ignore it completely,Delete the dataset,Hide the source note,20,1
6,Which reflection is strongest?,I did stuff,I improved chart labels and explained limitations after feedback,The project is done,I used a computer,20,2
7,What is make-up work?,A new unrelated project,A poster decoration,Work you submit to complete missing or corrected requirements,A hidden answer key,20,3
8,Why test final links one last time?,To remove source notes,To make the project harder to check,To avoid submitting files,To make sure your project files open correctly,20,4
9,What should a responsible Week 13 review avoid?,Adding new major content that is not in the plan,Checking missing work,Organizing project files,Completing reflection,20,1
10,Which item shows data learning?,A missing chart,A note explaining how data quality affected the conclusion,A broken link,A blank reflection,20,2
11,What belongs in portfolio cleanup?,Delete all files,Change the question without reason,"Rename files, check links, archive work, and submit missing work",Hide the dataset,20,3
12,Why include limitations in the reflection?,They make the project wrong,They replace your conclusion,They hide mistakes,They show honest understanding of what the data can support,20,4
13,Which final check is most important?,"Your product, dataset, and reflection open correctly",The background is the brightest color,The file has no source notes,The chart has no labels,20,1
14,What skill could you name in your final reflection?,Only changing seats,"Cleaning data, chart choice, results, or conclusions",Only opening the browser,Only choosing a folder color,20,2
15,Which final reflection sentence is specific?,I liked it.,The chart is nice.,I fixed missing source notes and explained the chart limits,Only the color changed,20,3
16,Why save the final dataset with your product?,To hide the source,To delete chart labels,To replace your reflection,So your chart and conclusion can be checked,20,4
17,What should you do before submitting corrections?,Open the file and confirm the fix is saved,Delete the project folder,Hide broken links,Change the topic randomly,20,1
18,Which source note is useful?,A missing website name,"Class survey data, collected in July",Only the folder color,No source listed,20,2
19,What should you avoid in a portfolio?,A final chart,Source notes,Private passwords or unrelated files,A reflection,20,3
20,What shows a project is ready to close?,Only the title,Only a chart color,Only a blank folder,"Product, data, source notes, reflection, and links all work",20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
