Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What should the data exam project plan include?,"Question, source, chart plan, product, tasks, and presentation",Only a title,Only a color palette,No source note
Why should the dataset source be recorded?,So others know where the data came from,To hide the data,To remove limitations,To skip the chart
What does responsible data mean?,"Using data carefully, fairly, and with privacy in mind",Changing results to win,Ignoring sources,Deleting limitations
What is project readiness?,"Data, files, and a clear plan for project work",Starting without a question,Having only a blank file,Skipping deadlines
A project plan has a question but no dataset. What is missing?,A source or collection method for data,A poster logo only,A robot wheel,A Scratch costume
Why finalize labels and units before building the product?,They help the audience understand the chart correctly,They make labels unnecessary,They remove the question,They hide the source
What is a data story?,An explanation that uses data as evidence,A random personal opinion,A hidden link,A blank chart
Which progress screenshot is useful?,One that shows the chart or product section being built,A screenshot of an empty desktop,A missing link,A random game
What should you test during project review?,"Clarity, labels, calculations, and conclusion",Only the background color,Only the file name,Only the seating plan
What is peer feedback used for?,Improving the product before final submission,Deleting the chart,Deleting source notes,Changing the question randomly
Which feedback is strongest?,"Your conclusion says everyone, but your data only sampled one class",It is boring,Make it better,I like blue
What should a revised conclusion match?,The data shown in the chart or table,The preferred answer only,A random opinion,The longest sentence
Why explain a limitation?,It shows what the data can and cannot support,It weakens honesty,It removes the need for data,It proves the chart is wrong
Which statement handles limitation well?,"The sample is one class, so limit the recommendation to that group",The chart proves everyone agrees,Limitations do not matter,The data is perfect
What should the final product include?,"Clear chart, data statements, source note, and design choices",Only a title,Only raw data,Only a screenshot with no labels
What belongs in the final presentation?,"Question, method, chart, conclusion, limitation, and product",Only your name,Only a chart color,Only a hidden link
Why rehearse the presentation?,To make the explanation clear and timed,To avoid showing your chart,To remove the chart,To skip reflection
Which recommendation is evidence-based?,Add bins because 72 percent of classmates reported weekly use,Add bins because I like them,Do anything,No recommendation needed
What should a final reflection discuss?,"Data quality, limitations, learning, and improvement",Only the title,Only the deadline,Only a classmate's name
Why check links and files before submission?,To make sure your project files open correctly,To make the project hidden,To delete the dataset,To remove the reflection
Which project risk should you avoid?,Using a chart without labels or source note,Explaining a limitation,Testing with a peer,Saving your work
What is a final product?,The completed data project artifact,A rough idea only,A missing dataset,A private password
What does method mean in a presentation?,"How the data was collected, cleaned, analyzed, or shown",Only the background color,A robot sensor,A Scratch sprite
Which answer shows mature data reasoning?,"The data suggests a trend, but the sample size limits the conclusion",The data proves everything,"The chart is colorful, so it is correct",I do not need a source
What should you submit at the end?,"Your final product, dataset, source notes, and reflection",Only a title slide,Only a blank file,Only a rough draft
