Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What does STEM connect?,"Science, technology, engineering, and math",Only passwords,Only social posts,Only file names
What is a pixel?,One tiny point in a digital image,A full website,A private message,A sensor cable
What is resolution?,The amount of detail in an image,The speed of a fan,A hidden folder,A project role
What is color depth?,How many colors can be represented,The size of a wire,A social trick,A risk rating
What is RGB?,"Red, green, and blue color channels","Risk, goal, build","Read, group, browse","Robot, game, button"
What is file size?,How much storage a file uses,The color of an image,The number of users only,A private code
What does compression do?,Reduces file size by changing how data is stored,Always improves quality,Deletes every image,Makes sound impossible
What is quality in media?,How clear or useful the image or sound is,A hidden password,A random filename,A risk map
What is a sample in sound?,One measurement of sound at a moment,A full project plan,A malware file,A social post
What is sample rate?,How often sound is measured each second,How bright an image is,How many links a site has,How fast a robot drives
What is sample size?,How much detail each sound sample stores,The length of a password,A chart color,A project role
What does a microphone do?,Captures sound as input,Shows final output only,Stores every file,Builds a 3D model
What does a speaker do?,Produces sound as output,Collects personal data,Compresses images,Rates risks
Why can higher resolution increase file size?,More image detail usually needs more data,It removes pixels,It hides colors,It deletes quality
Why connect a STEM idea to data?,Data can help test or explain the idea,Data makes the idea private,Data replaces the problem,Data deletes the prototype
Which media setting affects image detail?,Resolution,Threshold,Button state,Team role
Which media setting affects sound detail?,Sample rate,Page title,Risk priority,Project habit
Why choose the right file quality?,To balance clarity and file size,To make files impossible to open,To remove all color,To hide the project
What should you compare in a sound-quality task?,"Clarity, file size, and settings",Only file color,Only project team name,Only private messages
Which explanation is strongest?,Higher sample rate can make sound clearer but may use more storage.,Sound is magic.,The file is blue.,I opened it.
