Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is an mBot Knowledge Card used for?,A guide for a robot action or programming step,A place to store passwords,A poster decoration only,A way to skip testing
What should you predict before using a card?,What robot action the card can help create,A score without doing the work,The school lunch menu,A random color
Which final challenge is realistic?,Move through a short route and use one output or sensor,Build a new robot from scratch in one minute,Drive anywhere without a test area,Use no commands
What is a success rule?,A simple rule that says when the task is complete,A secret answer,A team nickname,A random sound
What should you do when the challenge partly works?,Record the problem and improve one part,Delete all your work,Stop explaining,Hide the robot
What should the final demo include?,"Goal, robot action, test result, and improvement",Only the team name,Only a drawing,Only the battery number
Why prepare a one-minute explanation?,To clearly tell the audience what the robot does,To avoid showing the robot,To replace the success rule,To skip reflection
What is reflection?,Thinking about what worked and what to improve,A motor part,A sound effect only,A random route
What should you include with your STEM challenge?,"Challenge sheet, route/test data, notes, and code or screenshot",Only an empty folder,Only a poster,Only a class list
Why complete the readiness checklist?,To return the mBot kit organized and ready,To make the robot disappear,To skip the final reflection,To avoid charging the battery
Which role helps a team of three work fairly?,"Driver, tester, and recorder","Runner, jumper, and singer","Painter, buyer, and seller","Reader, drawer, and guesser only"
"What should you explain about the card, block, or part used?",How it helped the robot complete the task,Why it was hidden,Why no test was needed,How it changed the school calendar
What is a station in card practice?,A place set up for one activity,A robot password,A hidden code,A type of poster
Which action shows perseverance?,Trying a fix after a failed test,Giving up after one mistake,Blaming another group,Deleting the plan
What should be cleaned up after the final demo?,"mBot kit, cards, test area, files, and notes",Only the screen background,Only the class title,Only the route word
Which explanation is strongest?,"It followed the route, beeped, and the turn time was shortened",It worked,The robot was fun,We used stuff
Why save your code or a screenshot?,To show what was built and tested,To avoid the demo,To hide the route,To erase all mistakes
What should you do if hardware is not ready?,Use your plan and ask for a short robot station,Skip all work,Throw away the checklist,Invent a fake result
What should you do before using a Knowledge Card?,Read the card and predict the action,Guess without reading,Skip the picture,Hide the card
What should your final challenge test show?,The robot meets the success rule,Only a team name,Only a battery number,Only a poster
