Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What does calibration mean?,Adjusting values so the robot works more accurately,Choosing a random color,Deleting the program,Hiding the route
Which values help control travel distance?,Speed and time,Title and header,Fill and stroke,Credit and source
What is accuracy?,How close a result is to what was expected,How bright a poster is,How hidden a file is,How long a password is
What should you record in a movement chart?,"Speed, time, observed distance, and conclusion",Only the robot name,Only a website link,Only a picture
Your robot turns too far. What should you adjust?,Turn time or speed,Poster title,Source note,Search engine
What is a path?,The way from one place to another,A web page section,A score value,A vector color
What is a route?,The planned path to follow,A private message,A browser tab,A robot battery
What is a checkpoint?,A place used to check route progress,A random sound,A folder color,A hidden password
Why draw movement arrows before coding?,They help translate the route into commands,They delete the robot program,They replace testing,They make sensors unnecessary
What does efficient mean for a route?,It uses fewer unnecessary steps,It goes nowhere,It is hidden,It ignores obstacles
What is an obstacle?,Something that blocks the way,A score variable,A website title,A safe image
Why remove an unnecessary command?,To make the route clearer and more efficient,To make the route random,To hide the result,To stop all testing
What is an LED used for on the robot?,Showing a light signal or state,Saving a website,Moving a wheel,Measuring all distance
What is a buzzer?,A part that makes a sound,A block that stores score,A web page section,A vector node
What is a state?,The current condition of something,A broken packet,A hidden source,A search query
Which LED color could show stop?,Red,White text only,Transparent,No color
Why use light or sound signals?,They help people understand what the robot is doing,They hide robot behavior,They remove movement commands,They erase checkpoints
What does ultrasonic mean?,Using sound waves to measure distance,Using images without source notes,Using a Scratch score,Using a website title
What is a sensor reading?,A value measured by a sensor,A random poster icon,A menu label,A missing route
What is a threshold?,A limit where the robot changes action,A route with no start,A web page source,A team name
What does a condition do?,Checks whether a rule is true or false,Deletes the code,Paints the robot,Creates a website header
What should happen if an object is too close?,The robot should stop or react,The robot should ignore it,The route should vanish,The LED should be unplugged
What does else mean in an if/else program?,What happens when the if condition is false,The first motor only,A page button,A source credit
Why test sensor values at different distances?,To choose a reasonable threshold,To make values random,To hide the sensor,To erase the route
What should your obstacle reaction include?,"Movement, sensor condition, and one output signal",Only a title,Only a wheel label,Only a blank map
