"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What should you do during presentation make-up time?,Present missing work or submit missing project files,Start a random new topic,Hide the game,Delete the project,20,1
2,Why clean up files after the project?,So links break,So the final project and notes are easy to find,So screenshots disappear,So the project is hidden,20,2
3,What should a final game folder include?,Only a private password,Only an empty folder,"Project file, screenshots, notes, and reflection",Only a random picture,20,3
4,What should a final reflection mention?,Only the day,Only the color,Only a folder icon,"Strongest skill, biggest challenge, strategy, and improvement",20,4
5,Which file name is clearest?,scratch-microbit-game-final,stuff,new thing,abc,20,1
6,What should you check before submitting?,Links are broken,Files open and match the project,Screenshots are missing,Notes are empty,20,2
7,What should you do if a screenshot is missing?,Ignore it,Delete the project,Add a clear screenshot or demo proof,Hide the problem,20,3
8,Why keep test notes?,They remove the need to test,They hide the game,They break the file,They show what you fixed or improved,20,4
9,What is a debugging strategy?,A method used to find and fix problems,A random color,A private password,A deleted sprite,20,1
10,Which reflection sentence is strongest?,It was fine.,I fixed the control issue by testing each input separately.,I clicked things.,The title is green.,20,2
11,What should you do after a make-up presentation?,Delete the link,Hide the files,Submit any required files or link,Close without saving,20,3
12,What makes a final folder organized?,Random names,Private files mixed in,No project file,Clear names and related files together,20,4
13,Why review the final project before closing?,To catch missing parts while you can still fix them,To make it disappear,To remove all notes,To avoid reflection,20,1
14,Which item should not be submitted?,A project screenshot,A private password,A reflection,A game file,20,2
15,What should you do if your game partly works?,Pretend everything works,Delete the code,Show the working feature and explain the next fix,Hide the control issue,20,3
16,What is one course closure habit?,Leave files scattered,Hide your project,Remove screenshots,"Save, submit, organize, and reflect",20,4
17,What can file cleanup help you do later?,Find your work and remember what you built,Forget every change,Break every link,Lose the project,20,1
18,Why keep your final link clear?,So nobody can find it,So the correct project can be opened,So the game fails,So feedback disappears,20,2
19,What should you do with old draft files?,Mix them with passwords,Rename all as final,Keep or archive them neatly if needed,Delete required work,20,3
20,What is the goal of a quiet review task?,Start unrelated work,Hide questions,Remove final files,Finish corrections and strengthen key ideas,20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
