Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is decomposition?,Breaking a larger task into smaller parts,Hiding the whole program,Deleting every block,Changing a password
What is a subroutine?,A reusable set of steps for one action,A broken sensor,A chart title,A private message
Why use subroutines in Scratch?,They make code easier to organize,They remove all events,They hide the sprites,They stop testing
What is a loop?,A block or structure that repeats actions,A one-time title,A spreadsheet row,A source link
What is an event in Scratch?,Something that starts an action,A private password,A table border,A folder color
Which Scratch plan uses decomposition?,"Move, score, and reset are separate labeled actions",All blocks are random,No actions have names,Every sprite is hidden
What is a list in Scratch?,A group of related items,A robot wheel,A private email,A chart axis
Why organize data in a list?,To store related items in one place,To delete the project,To hide every item,To remove feedback
What is a credible source?,A source you can trust for good reasons,A page with no author or date,A random rumor,A broken link only
What should you check in an online source?,"Author, date, purpose, and support",Only the background color,Only the link length,Only the font
What is plagiarism?,Using someone's work as if it is yours,Writing your own idea,Giving source credit,Testing your program
Why record image credit?,To show where the image came from,To hide the creator,To remove the image,To change the topic
What should a cause-based blog section include?,"Title, audience, main idea, image idea, and source credit",Only a private password,Only a robot route,Only a random sound
What does audience mean?,The people your message is for,A spreadsheet formula,A micro:bit part,A hidden file
Why revise a media post?,To make the message clearer after feedback,To hide the post,To remove source notes,To make every link fail
What is a micro:bit sensor system?,A system that uses sensor input to trigger output,A spreadsheet chart only,A blog title only,A Scratch backdrop only
What should a system diagram show?,"Input, process, output, and parts",Only a title,Only a picture,Only a secret note
What is a threshold rule?,A value limit that changes the response,A source credit,A row number,A sprite name
Why write testing questions for a sensor plan?,They help you check whether the system works,They hide the input,They remove output,They replace the diagram
Which sensor-system plan is clear?,"If distance is below the limit, play an alert","If title is nice, hide code","If source is long, delete sprite","If chart is blue, stop all work"
