"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,Which design fits a recycling poster for younger classmates?,"Large readable text, simple wording, and a clear image",Tiny paragraphs and complex statistics only,No title or image,Random decoration with no message,20,1
2,Which poster has the clearest purpose?,It uses five unrelated images,It tells classmates to bring reusable water bottles,It has no main message,It hides the topic in small text,20,2
3,You use an online image. What source detail should you include?,Only the image color,Only the file size,Source or credit information,No information,20,3
4,Which revision improves contrast?,Yellow text on white background,Tiny gray text on gray background,No text at all,Dark text on a light background,20,4
5,What does alignment help with?,Keeping text and objects organized,Making all text unreadable,Removing the title,Ignoring image credit,20,1
6,Why should a poster have one main message?,So the reader has to guess,So the audience understands the action quickly,So the design looks crowded,So the title can be hidden,20,2
7,Which is a copyright-friendly choice?,Copy any image without checking,Remove the creator's name,Use an image allowed for reuse and record credit,Use no source information,20,3
8,What makes a brand style consistent?,A different font and color on every slide,No shared design choices,Only random clip art,"Repeated colors, logo, typography, and layout choices",20,4
9,A logo is hard to see on a poster. What should be changed?,"Size, contrast, or placement",Only your name,The due date only,The whole topic,20,1
10,Which color palette is best for a clean environmental poster?,Every color at once,A small planned set of readable colors,Only colors that hide the text,No planned colors,20,2
11,What is typography?,A robot movement command,A sensor value,The style and arrangement of text,A Python loop,20,3
12,Which feedback is most useful?,It is bad,I like blue,Change everything,"Your title is clear, but the image credit is missing",20,4
13,What should you do after feedback?,Make a specific revision and explain it,Ignore all comments,Delete the poster,Hide the image source,20,1
14,What should you include for Weeks 1-2?,A robot route map only,"Poster draft, final poster, image credit, logo, and branding",A Python output only,A circuit diagram only,20,2
15,Which poster title is strongest?,Stuff,My Poster,Save Water: Turn Off the Tap,Untitled,20,3
16,Why compare two poster drafts?,To avoid revising,To remove the audience,To hide the purpose,To decide which communicates more clearly,20,4
17,Which slide design follows branding?,Same logo location and color palette as the poster,No connection to the poster style,Random fonts each slide,No readable message,20,1
18,What is the purpose of a credit line?,To make text smaller,To say who made or provided the image,To hide the source,To replace the poster title,20,2
19,Which layout problem hurts readability?,A clear title,Enough spacing,Text placed on a busy image with low contrast,Consistent alignment,20,3
20,What should the final poster submission show?,Only a logo,Only an image with no text,Only a blank background,"Clear title, message, image, readable text, colors, and credit",20,4
21,Why should the message match the audience?,Different audiences need different wording and examples,All audiences understand the same tiny text,Audience does not matter,It only changes the file name,20,1
22,Which design choice supports professionalism?,Crowded text and random placement,Consistent spacing and aligned elements,Missing source information,Unclear purpose,20,2
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
