Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What is the main purpose of Week 13?,"Final exam work, make-up tasks, reflection, and cleanup",Starting a brand-new major topic,Replacing the whole project,Skipping submission checks
What should you confirm before closing the data project?,"Your final product, dataset, source notes, and reflection are ready",Only the chart color is chosen,Only the room number is listed,Only the title is bold
Why organize a project portfolio?,So your work can be found and reviewed later,So all files disappear,So links break,So the dataset is hidden
Which file should be archived?,Final data product or chart screenshot,A random unrelated download,An empty folder only,A private password
What should you do with returned feedback?,Use it to correct your work or improve the final reflection,Ignore it completely,Delete the dataset,Hide the source note
Which reflection is strongest?,I improved chart labels and explained limitations after feedback,I did stuff,The project is done,I used a computer
What is make-up work?,Work you submit to complete missing or corrected requirements,A new unrelated project,A poster decoration,A hidden answer key
Why test final links one last time?,To make sure your project files open correctly,To remove source notes,To make the project harder to check,To avoid submitting files
What should a responsible Week 13 review avoid?,Adding new major content that is not in the plan,Checking missing work,Organizing project files,Completing reflection
Which item shows data learning?,A note explaining how data quality affected the conclusion,A missing chart,A broken link,A blank reflection
What belongs in portfolio cleanup?,"Rename files, check links, archive work, and submit missing work",Delete all files,Change the question without reason,Hide the dataset
Why include limitations in the reflection?,They show honest understanding of what the data can support,They make the project wrong,They replace your conclusion,They hide mistakes
Which final check is most important?,"Your product, dataset, and reflection open correctly",The background is the brightest color,The file has no source notes,The chart has no labels
What skill could you name in your final reflection?,"Cleaning data, chart choice, results, or conclusions",Only changing seats,Only opening the browser,Only choosing a folder color
Which final reflection sentence is specific?,I fixed missing source notes and explained the chart limits,I liked it.,The chart is nice.,Only the color changed
Why save the final dataset with your product?,So your chart and conclusion can be checked,To hide the source,To delete chart labels,To replace your reflection
What should you do before submitting corrections?,Open the file and confirm the fix is saved,Delete the project folder,Hide broken links,Change the topic randomly
Which source note is useful?,"Class survey data, collected in July",A missing website name,Only the folder color,No source listed
What should you avoid in a portfolio?,Private passwords or unrelated files,A final chart,Source notes,A reflection
What shows a project is ready to close?,"Product, data, source notes, reflection, and links all work",Only the title,Only a chart color,Only a blank folder
