Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What should you plan before presenting work?,"Goal, what you made, and what you improved",Only a hidden password,Only a random color,Only the date
Why practice a one-minute explanation?,To share your work clearly and on time,To hide your project,To skip the topic,To delete your notes
What should you do when listening to a classmate?,Pay attention and respond respectfully,Interrupt every sentence,Open unrelated tabs,Hide their file
What is reflection?,Thinking about what happened and what you learned,A robot motor,A spreadsheet header,A browser tab
Which reflection sentence is useful?,I improved my chart labels so the data was easier to read.,It was fine.,I did it.,The file is blue.
What can a micro:bit show with a first program?,Text or an icon,A full website,A 3D printed object,A spreadsheet average
Why test a micro:bit program?,To check what the board actually displays,To hide the output,To remove the code,To close the file forever
Which output fits the LED display?,A heart icon,A temperature reading,A button press,A table row
What should you check if the icon does not appear?,"Blocks, connection, and program download",Only the file color,Only the desk number,Only the chart title
What is a variable?,A place that stores a value that can change,A fixed drawing only,A hidden folder,A web address
What is a counter?,A variable that counts up or down,A robot wheel,A website source,A 3D shape
What value should a simple counter often start with?,0,A secret word,A random picture,A web page title
What should happen when a button increases a counter?,The number changes by the planned amount,The board disappears,The file deletes,The chart turns off
Why show the counter value on the display?,So you can see the changing number,So the value is hidden,So buttons stop working,So the code is erased
What should a counter plan include?,"Starting value, input, change, and output",Only a color,Only a private note,Only a 3D object
What does initialize mean?,Set a starting value,Delete all values,Hide the board,Change the website link
What does update mean in a counter?,Change the stored value,Erase the display,Move a 3D shape,Sort a table row
Which button action fits a counter?,Press A to add 1,Press A to delete the board,Press A to open a random website,Press A to hide all code
What should you do after testing your counter?,Fix one problem or explain how it works,Remove the variable,Hide the value,Close the project without saving
What makes a micro:bit explanation clear?,"Say the input, variable change, and output",Only say the file name,Only show a color,Only point to the keyboard
