Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What should you do during presentation make-up time?,Present missing work or submit missing project files,Start a random new topic,Hide the game,Delete the project
Why clean up files after the project?,So the final project and notes are easy to find,So links break,So screenshots disappear,So the project is hidden
What should a final game folder include?,"Project file, screenshots, notes, and reflection",Only a private password,Only an empty folder,Only a random picture
What should a final reflection mention?,"Strongest skill, biggest challenge, strategy, and improvement",Only the day,Only the color,Only a folder icon
Which file name is clearest?,scratch-microbit-game-final,stuff,new thing,abc
What should you check before submitting?,Files open and match the project,Links are broken,Screenshots are missing,Notes are empty
What should you do if a screenshot is missing?,Add a clear screenshot or demo proof,Ignore it,Delete the project,Hide the problem
Why keep test notes?,They show what you fixed or improved,They remove the need to test,They hide the game,They break the file
What is a debugging strategy?,A method used to find and fix problems,A random color,A private password,A deleted sprite
Which reflection sentence is strongest?,I fixed the control issue by testing each input separately.,It was fine.,I clicked things.,The title is green.
What should you do after a make-up presentation?,Submit any required files or link,Delete the link,Hide the files,Close without saving
What makes a final folder organized?,Clear names and related files together,Random names,Private files mixed in,No project file
Why review the final project before closing?,To catch missing parts while you can still fix them,To make it disappear,To remove all notes,To avoid reflection
Which item should not be submitted?,A private password,A project screenshot,A reflection,A game file
What should you do if your game partly works?,Show the working feature and explain the next fix,Pretend everything works,Delete the code,Hide the control issue
What is one course closure habit?,"Save, submit, organize, and reflect",Leave files scattered,Hide your project,Remove screenshots
What can file cleanup help you do later?,Find your work and remember what you built,Forget every change,Break every link,Lose the project
Why keep your final link clear?,So the correct project can be opened,So nobody can find it,So the game fails,So feedback disappears
What should you do with old draft files?,Keep or archive them neatly if needed,Mix them with passwords,Rename all as final,Delete required work
What is the goal of a quiet review task?,Finish corrections and strengthen key ideas,Start unrelated work,Hide questions,Remove final files
