"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What is hardware?,The physical parts of a computer or device,Only a website idea,A private comment,A color choice,20,1
2,What is software?,Only a keyboard,Programs that tell hardware what to do,A campaign sketch,A recycled battery,20,2
3,What is input?,Only the final result,A hidden password,Information or action that goes into a system,A vector outline,20,3
4,What is output?,The keyboard only,A deleted source,A route map,What a system produces or shows,20,4
5,What does the processor do?,Carries out instructions,Stores all long-term files only,Paints the page,Creates a poster title,20,1
6,What is memory used for?,Permanent trash,Short-term storage while the computer works,Only screen brightness,A robot wheel,20,2
7,What is storage used for?,A click sound,Only a temporary thought,Long-term space for files and programs,A Scratch costume,20,3
8,What does an operating system do?,Only changes image credit,Measures robot distance,Deletes every file,Manages the computer and helps programs run,20,4
9,Which search query uses AND correctly?,recycling AND Panama,recycling banana zebra,AND AND AND,no words typed,20,1
10,What does NOT do in a search?,Adds every result,Leaves out results with a word,Changes computer memory,Opens a robot program,20,2
11,What is AI?,A page title only,A motor speed,Software that can do tasks that seem intelligent,A file folder,20,3
12,What is machine learning?,A tool for resizing shapes only,A browser address,A robot wheel,AI that improves using data examples,20,4
13,What is training in AI?,Using examples to teach a model,Deleting all examples,Hiding the result,Changing a website title,20,1
14,What is prediction?,A private password,A result or guess made by a model,A vector fill,A broken link,20,2
15,What is a limitation?,A perfect answer forever,A deleted source,A reason a result may be incomplete or unreliable,A color palette,20,3
16,Why should AI results be checked?,They are always perfect,They replace thinking,They do not use data,They can make mistakes or miss context,20,4
17,What does responsible remixing include?,"Credit, permission, and clear source notes",Copying without care,Deleting creators,Using private images,20,1
18,What is HTML used for?,Measuring sensor distance,Structuring a web page,Charging a battery,Drawing only vector paths,20,2
19,What is the body section in HTML?,The hidden page information only,A robot state,The part shown on the page,A private folder,20,3
20,What is CSS used for?,Moving a robot,Sorting batteries,Sending packets,Styling a web page,20,4
21,What is a selector in CSS?,Code that chooses what to style,A motor part,A search engine,A shared file,20,1
22,What should alt text do?,Hide the image source,Describe an image for people who cannot see it,Make the page empty,Replace every heading,20,2
23,What is a keyword?,A vector node,A robot output,An important search word,A file extension only,20,3
24,Which source is useful for a campaign?,A random ad with no author,A broken link,A page unrelated to the message,A reliable page that supports the topic,20,4
25,What should a portfolio map include?,"Needed pages, navigation, media, and source needs",Only a private password,Only one random icon,Only a sensor value,20,1
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
