"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,What should a STEM project problem describe?,A real need or challenge to solve,Only a team name,Only a random tool,Only a private password,20,1
2,Who are users in a STEM project?,Only file folders,People affected by the problem or product,Only sensors,Only media settings,20,2
3,What is a constraint?,A perfect answer,A hidden file,"A limit such as time, materials, or safety",A random title,20,3
4,Why identify possible data for a project?,Data makes the project secret,Data removes users,Data replaces all testing,Data can help test or explain the solution,20,4
5,Which tool might fit a 3D model idea?,Tinkercad,A private chat,A phishing link,A random password,20,1
6,Which tool might fit a simple signal idea?,A deleted file,Arduino or Freenove,A social trick,A media rumor,20,2
7,What is a prototype tool?,A way to hide the problem,A private account,A tool used to build or test an early version,A random image,20,3
8,What should a planning reflection mention?,Only the date,Only a color,Only a secret code,"Effort, organization, safe materials, perseverance, and feedback",20,4
9,What is a risk?,Something that could cause a problem,A guaranteed success,A hidden title,A random icon,20,1
10,What is probability in a risk map?,How pretty the chart is,How likely the risk is,How large the title is,How many colors are used,20,2
11,What is impact in a risk map?,The folder name,The user's favorite color,How serious the result would be,The number of tabs open,20,3
12,What is a protection strategy?,A way to ignore the risk,A hidden password,A random prototype,A plan to reduce or handle a risk,20,4
13,What is a priority recommendation?,The risk response you think should happen first,The longest sentence,The file color,The easiest icon,20,1
14,Which risk fits a STEM build?,The folder is blue,The material is too weak for the design,The title is short,The icon is small,20,2
15,Which protection fits a weak material risk?,Ignore the break,Hide the model,Test a stronger material or change the design,Delete all notes,20,3
16,Why rate probability and impact separately?,They are always the same,Ratings are not useful,Only color matters,A rare risk can still be serious,20,4
17,What should a risk map include?,"Risks, probability, impact, protections, and recommendation",Only a title,Only a password,Only a random picture,20,1
18,Which recommendation is specific?,Do better.,Test the sensor early because it controls the prototype.,Make it nice.,Try things.,20,2
19,Why revise a STEM idea after risk mapping?,To hide the risks,To avoid users,To make the project safer and more realistic,To delete the goal,20,3
20,What makes a problem selection strong?,Only a title,No users,No possible test,"Clear users, constraints, data, tools, and test idea",20,4
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
