Gimkit Spreadsheet Import Template,,,,
Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
What should you do during make-up time?,"Finish missing files, corrections, or final reflection",Start an unrelated topic,Hide the product,Delete the logbook
Why organize a portfolio?,So project files and proof are easy to find,So links break,So notes disappear,So files are hidden
What belongs in a STEM project portfolio?,"Proposal, design files, test notes, screenshots, and reflection",Only a private password,Only a random icon,Only an empty folder
What should you check before final closure?,Files open and names are clear,Links fail,Screenshots are missing,Notes are blank
Which file name is clearest?,stem-project-final-demo,stuff,new,abc
What should a final reflection correction improve?,"Specific details about problem, testing, and improvement",Only the color,Only the file size,Only a private note
What should you do if a final link is broken?,Fix it or attach the correct file,Ignore it,Delete the project,Hide the folder
Which item should not be included?,A private password,A project screenshot,A proposal,A reflection
What does course closure mean?,"Finishing, organizing, and reflecting on work",Deleting all files,Avoiding submissions,Starting random work
Why keep test notes after the project?,They explain how the product was checked,They make testing unnecessary,They hide results,They break the prototype
What should you do if your project is incomplete?,Show the working part and explain the next fix,Pretend it is complete,Hide the issue,Delete all notes
Which reflection sentence is strongest?,"Test 2 bent too much, so we changed the support.",It was good.,We finished.,The folder is red.
What should final exam tasks be handled with?,"Focus, honesty, and organized files",Random clicking,Hidden notes,Broken links
What can portfolio organization help you review?,Your design process and final learning,Only the folder color,Only private messages,Only file size
Why should final work use clear links?,So the correct product can be opened,So nobody finds it,So the product fails,So notes disappear
What is a useful closing habit?,"Save, submit, organize, and reflect",Leave files scattered,Delete proof,Hide feedback
What should you archive neatly?,"Final product, notes, tests, and reflection",Passwords,Random downloads,Empty folders only
Why check final requirements one last time?,To catch missing pieces before the trimester closes,To make work hidden,To avoid correction,To delete files
What should you do after fixing missing work?,Submit the updated file or link,Close without saving,Hide the folder,Remove the project
What should final course reflection help you notice?,Skills you practiced and what you can improve next,Only a random score,Only a secret code,Only a file color
